record_id	limit	sex	education	marriage	age	pay0	pay2	pay3	pay4	pay5	pay6	bill_amt1	bill_amt2	bill_amt3	bill_amt4	bill_amt5	bill_amt6	pay_amt1	pay_amt2	pay_amt3	pay_amt4	pay_amt5	pay_amt6	label
50	2	2	1	2	0	2	2	2	1	2	2	5	6	0	7	8	8	10	1	12	6	3	4	0
51	1	1	2	2	4	2	2	2	2	2	2	5	5	8	5	5	5	3	2	0	1	1	2	0
52	11	2	1	1	13	1	1	1	1	1	1	5	4	4	3	3	5	10	10	7	8	11	9	0
53	1	1	1	2	10	2	2	2	2	4	2	7	7	7	7	7	7	4	3	4	0	3	2	0
54	8	2	1	1	8	3	0	0	0	1	1	1	1	1	1	2	1	0	0	0	4	0	0	0
55	1	1	2	2	6	2	2	2	2	4	4	6	6	6	6	6	6	2	3	6	2	0	8	1
56	14	2	2	1	12	2	2	2	2	2	2	15	15	15	14	14	14	13	13	11	11	12	11	0
57	6	2	1	2	4	2	2	2	2	2	2	11	11	11	10	9	9	6	7	5	6	6	6	0
58	5	2	1	2	1	1	5	4	1	1	1	2	3	2	1	1	2	0	0	0	1	1	1	0
59	4	1	3	1	9	2	2	2	2	2	2	12	12	13	12	12	12	7	7	7	10	7	10	0
60	3	2	3	1	15	2	2	2	2	2	2	11	11	11	9	9	8	6	5	4	3	3	4	0
61	14	2	1	1	11	2	2	2	2	2	2	15	15	15	14	14	14	12	12	12	11	11	11	0
62	14	2	1	1	8	0	0	0	0	0	0	5	5	0	5	1	1	12	0	11	6	0	0	0
63	11	2	1	1	6	1	1	1	1	1	0	1	0	5	1	1	1	0	11	0	0	0	0	0
64	1	2	2	1	13	10	9	8	7	6	5	7	7	7	6	6	6	0	0	1	0	0	0	1
65	5	2	1	1	10	1	1	1	1	1	1	1	3	1	2	3	2	6	0	2	5	1	6	0
66	7	1	1	1	10	2	2	2	1	2	2	10	10	7	10	10	10	3	5	12	5	5	0	0
67	8	2	1	1	14	0	0	0	0	0	0	4	4	3	2	1	3	10	5	4	1	5	7	0
68	1	1	2	2	8	0	0	0	0	0	0	3	3	2	2	2	2	3	1	3	8	2	0	0
69	3	1	1	1	13	2	2	2	2	4	4	6	6	7	6	7	7	7	4	5	0	6	0	0
70	9	2	2	2	2	2	2	2	2	1	1	9	8	8	4	3	3	8	8	7	6	6	0	0
71	1	1	3	1	6	2	2	2	2	2	0	7	7	7	6	1	1	3	2	0	0	0	0	0
72	9	2	3	1	15	2	2	2	2	2	2	15	15	14	14	14	14	12	13	12	12	12	11	0
73	3	1	2	2	5	2	2	2	2	2	2	6	7	7	6	6	7	3	4	4	2	2	3	0
74	9	2	2	2	8	2	2	2	2	2	2	12	11	10	9	3	0	10	2	5	3	0	0	0
75	3	2	2	2	1	4	4	4	2	2	2	10	10	9	8	8	8	4	0	2	2	4	8	1
76	1	2	3	1	12	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1
77	10	1	3	2	10	1	2	2	2	1	2	9	9	10	7	11	10	4	12	9	12	9	8	0
78	13	1	3	1	6	0	0	1	1	2	2	1	2	2	13	13	13	1	1	12	9	10	10	0
79	11	1	2	3	8	2	2	2	2	2	2	7	7	7	6	5	5	3	3	4	1	1	6	0
80	6	1	2	1	11	2	2	4	2	2	2	9	9	9	9	9	9	8	0	4	4	5	0	0
81	7	1	1	2	7	2	2	2	2	2	2	13	13	12	12	12	11	8	8	6	7	6	7	0
82	5	2	1	2	7	2	2	2	4	4	4	9	9	10	9	9	10	5	6	7	0	7	6	1
83	9	2	1	2	13	1	1	1	0	0	0	3	1	1	1	1	1	1	0	0	0	0	0	0
84	8	1	1	1	15	2	2	2	2	2	2	14	14	14	13	13	13	11	10	8	9	9	9	0
85	6	1	3	2	15	4	2	2	2	2	2	13	13	13	12	12	13	9	9	10	8	8	9	0
86	8	2	1	2	5	2	1	1	1	2	2	6	5	7	2	4	6	11	13	6	10	9	11	0
87	14	1	1	2	6	2	2	2	2	2	2	13	13	13	12	12	11	10	9	5	6	6	5	0
88	13	2	1	2	2	0	0	0	1	2	2	1	1	1	7	8	8	0	0	12	6	8	9	0
89	13	1	1	1	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0
90	1	1	3	1	14	2	2	2	2	4	4	6	6	7	6	7	7	2	3	6	3	0	2	1
91	12	2	2	2	1	2	2	2	2	2	2	15	15	15	14	14	14	11	11	10	10	10	10	0
92	1	1	2	2	8	1	1	1	1	2	2	6	5	3	6	6	6	11	5	12	6	9	9	0
93	6	1	1	1	12	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1
94	10	2	1	1	10	1	1	4	4	1	1	3	4	4	1	5	4	9	0	0	11	10	11	0
95	11	2	2	2	6	1	1	1	1	1	1	5	3	0	5	1	3	5	2	12	0	8	1	0
96	2	1	2	2	5	2	2	2	4	4	4	7	7	8	7	8	8	5	6	2	6	0	3	1
97	0	1	2	2	13	2	2	2	2	2	2	5	5	5	6	5	1	2	3	2	1	0	0	0
98	1	1	3	2	1	2	2	2	2	1	1	7	7	7	3	1	1	5	2	1	0	0	0	0
99	3	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	0
100	3	2	2	2	13	3	5	4	5	4	4	8	8	8	7	8	8	0	7	0	0	6	0	1
101	5	2	2	2	2	1	1	1	2	2	2	2	4	4	3	3	4	9	9	2	4	6	5	0
102	10	2	6	2	13	2	2	2	2	2	2	15	15	15	14	14	14	12	11	10	11	11	10	0
103	7	2	1	2	3	0	0	0	0	0	0	1	2	2	1	2	1	1	1	0	2	0	0	0
104	1	2	3	1	8	2	2	4	4	2	2	6	7	7	6	7	7	7	2	0	2	5	0	1
105	6	2	3	1	14	2	2	2	2	2	2	13	13	13	12	12	12	8	7	7	7	7	7	0
106	6	1	2	2	5	3	4	2	2	4	4	12	13	13	12	12	12	0	8	10	8	8	0	1
107	13	2	1	2	6	5	4	4	4	4	4	3	3	3	3	3	3	0	0	0	0	0	0	1
108	7	2	2	1	14	2	2	2	2	2	2	14	13	13	11	10	9	10	9	7	6	6	3	1
109	12	1	1	1	15	3	4	4	4	4	4	14	14	14	14	14	14	10	0	11	10	10	10	1
110	6	1	1	2	8	1	1	1	1	1	4	1	2	1	0	2	2	1	1	0	4	0	1	0
111	2	1	2	2	15	2	2	2	2	2	2	8	8	8	8	8	2	4	8	6	0	1	2	1
112	3	2	2	1	7	2	2	2	2	2	4	8	8	9	8	9	9	11	5	3	7	0	4	0
113	14	2	1	1	10	1	1	1	2	2	1	9	12	15	14	10	6	13	13	9	3	11	12	0
114	10	2	2	1	8	2	2	2	2	2	2	13	13	13	8	9	9	8	10	7	6	9	6	0
115	5	1	2	1	6	2	2	4	2	2	2	12	13	13	12	10	11	13	0	8	5	6	6	0
116	10	1	2	2	6	2	2	2	2	2	2	14	14	15	13	13	13	10	10	10	9	11	10	1
117	11	2	2	2	10	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	0	2	0
118	3	1	2	2	14	5	4	2	2	2	2	6	6	6	5	5	5	1	2	0	1	1	4	1
119	6	1	2	1	7	1	1	1	1	1	1	2	3	3	2	2	3	5	2	5	5	7	0	0
120	1	2	1	2	0	3	1	2	2	1	1	1	2	3	2	3	2	1	2	0	6	4	1	0
121	3	2	2	1	14	2	2	2	4	2	2	9	8	8	6	4	5	5	8	0	1	4	1	0
122	9	1	3	2	2	4	2	2	2	2	2	12	11	9	8	8	6	10	12	12	12	12	12	1
123	6	1	1	1	8	4	2	2	2	2	2	12	12	13	9	10	10	9	8	9	9	7	11	0
124	3	2	2	2	0	1	2	2	2	2	2	3	4	5	6	7	6	3	10	10	10	6	8	0
125	14	1	2	2	8	0	0	0	1	1	2	8	8	1	2	13	13	2	0	4	12	10	10	0
126	5	1	1	1	15	6	7	6	5	4	2	13	13	13	12	12	12	8	0	0	0	8	8	1
127	13	1	1	2	6	1	1	1	1	1	1	6	11	4	4	5	4	13	7	10	11	10	12	0
128	14	1	1	2	7	2	2	2	2	2	2	12	12	12	11	11	12	10	10	9	9	8	9	0
129	1	2	1	2	1	2	2	4	1	1	2	4	4	4	4	4	3	7	0	10	9	0	0	0
130	4	1	3	2	1	3	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	0
131	9	1	2	1	9	3	0	0	0	1	1	1	1	1	1	2	1	0	0	0	5	0	0	0
132	2	1	3	1	12	2	2	2	2	2	2	9	9	10	9	10	10	4	4	3	4	5	4	1
133	14	2	2	1	8	2	2	2	2	2	1	14	10	9	6	1	8	4	3	2	0	12	12	1
134	10	2	2	1	13	0	0	0	0	0	0	4	3	4	3	2	4	4	7	6	5	8	7	0
135	0	1	2	1	5	1	1	1	1	0	0	1	1	2	1	1	1	0	1	0	0	0	0	1
136	13	1	3	1	6	3	4	4	2	2	2	15	15	15	13	13	14	12	0	9	9	12	0	0
137	10	1	3	1	13	0	0	0	0	0	0	3	2	2	3	3	3	1	2	6	6	7	5	0
138	0	2	3	1	13	2	2	0	0	1	2	5	1	1	1	3	3	0	0	0	5	0	5	0
139	12	2	2	1	8	2	2	2	2	1	2	11	10	4	4	10	10	2	2	6	12	8	12	0
140	6	2	2	2	7	1	1	1	2	1	1	3	3	3	2	2	2	3	7	0	2	4	8	0
141	8	1	2	2	5	2	2	2	2	2	2	14	15	15	14	14	14	10	10	10	10	10	9	0
142	3	2	2	1	2	2	2	2	2	2	2	9	9	9	8	9	9	9	9	5	4	4	4	0
143	5	1	1	1	13	2	2	2	2	2	2	13	13	8	7	7	5	9	3	1	2	3	3	0
144	6	1	3	1	11	2	2	2	2	2	2	12	13	13	12	12	12	10	9	10	11	8	11	0
145	6	2	2	2	6	2	2	2	2	2	2	8	8	9	9	9	9	3	5	5	6	7	7	0
146	5	2	1	2	7	3	4	2	2	2	2	11	11	11	11	11	11	0	5	5	6	6	6	0
147	7	2	2	1	5	2	2	4	6	5	4	13	13	14	13	13	13	10	12	3	0	10	0	1
148	3	2	3	2	13	1	1	1	1	1	1	3	3	3	2	3	3	4	5	5	5	5	5	1
149	2	2	2	2	2	2	2	2	2	2	2	6	6	7	6	6	7	4	3	1	2	5	0	0
150	3	1	2	2	9	3	4	4	4	4	4	7	7	7	7	8	8	3	0	6	3	0	6	1
151	2	1	2	2	0	4	4	2	2	2	2	9	9	8	8	8	9	0	3	2	3	7	0	0
152	9	1	1	2	4	1	4	1	1	0	0	4	2	13	1	1	1	0	13	0	0	0	8	0
153	12	1	1	2	7	1	1	1	2	2	1	2	3	6	5	4	5	6	12	0	0	11	12	0
154	3	2	3	3	14	2	2	2	2	2	2	9	9	6	5	5	6	2	2	1	3	3	12	0
155	6	2	1	1	7	2	2	2	1	1	2	9	8	7	2	3	3	3	11	4	7	0	0	1
156	7	1	1	1	9	2	2	2	2	2	2	9	10	10	10	10	10	6	5	6	6	6	6	0
157	1	1	2	2	5	4	4	4	4	2	2	6	6	6	5	5	1	0	8	0	3	0	0	0
158	13	1	1	1	15	2	2	2	2	2	2	15	15	15	14	14	14	12	13	11	11	12	11	0
159	7	2	1	1	7	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1
160	2	1	2	2	7	2	2	0	0	0	0	8	1	1	1	1	1	0	0	0	0	0	0	0
161	1	1	2	1	11	4	4	4	4	4	4	7	7	8	7	7	8	3	2	1	0	5	0	1
162	5	1	2	2	8	2	2	2	2	2	2	13	13	13	12	11	11	8	8	7	7	7	7	0
163	7	2	1	2	5	0	0	0	0	0	0	1	1	3	1	4	2	0	6	0	9	1	8	0
164	10	2	3	2	7	3	0	1	1	1	1	1	1	4	3	1	2	0	8	8	1	3	5	1
165	3	1	3	1	14	2	2	2	4	2	2	6	6	6	6	6	6	5	5	2	3	3	3	0
166	7	2	3	1	5	2	2	2	2	2	2	5	5	5	4	5	5	2	3	2	5	3	3	0
167	11	1	1	1	10	2	2	2	2	2	2	15	14	14	13	13	13	11	9	9	9	10	10	0
168	13	2	2	2	12	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	12	0
169	6	2	2	2	7	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
170	3	2	3	2	0	4	4	4	4	4	4	10	10	10	10	10	10	8	5	5	0	8	0	1
171	3	2	2	1	5	2	2	2	2	2	2	11	11	12	8	8	8	8	5	3	8	3	9	0
172	8	1	2	1	14	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	3	0
173	9	2	1	2	0	2	2	2	2	2	2	12	12	11	11	11	11	7	6	6	6	7	7	0
174	7	2	2	2	14	2	2	2	2	2	2	14	14	14	8	8	8	11	10	7	9	8	10	1
175	6	2	2	1	11	2	2	2	2	2	2	13	13	13	12	12	12	8	7	6	7	8	7	0
176	13	1	2	2	5	2	2	2	2	2	2	13	14	14	13	13	13	13	10	11	11	11	9	0
177	12	1	1	1	4	2	2	2	2	2	2	12	12	10	6	5	10	8	7	5	0	12	12	0
178	14	1	2	2	7	1	1	1	1	2	1	5	5	0	6	4	1	10	1	12	0	2	12	0
179	14	1	1	1	14	2	2	2	2	2	2	15	15	15	14	14	14	12	12	11	11	11	11	0
180	12	1	1	2	9	2	2	2	2	2	2	15	15	15	13	13	11	12	12	8	8	6	6	0
181	11	2	1	2	6	2	2	2	2	2	4	11	12	12	11	12	12	9	8	6	11	8	9	0
182	1	2	3	2	0	4	4	2	2	2	4	6	6	6	6	6	7	0	4	4	7	0	3	1
183	9	2	1	2	3	2	2	2	2	2	2	12	9	10	9	10	10	5	5	4	5	4	4	1
184	9	2	2	1	13	0	0	0	0	0	0	2	1	2	3	1	1	0	1	8	0	0	0	0
185	12	2	2	1	15	1	1	1	1	2	1	5	5	6	5	3	5	11	12	11	0	11	6	0
186	3	2	2	1	7	2	2	2	1	2	2	9	8	5	8	8	9	4	4	12	4	4	4	1
187	8	2	1	2	5	3	0	1	1	0	0	1	1	2	1	1	1	0	1	0	0	0	0	1
188	11	2	1	1	13	2	2	2	2	2	2	13	13	12	11	11	11	8	7	7	6	7	6	0
189	1	2	1	2	0	3	4	4	4	2	2	5	5	6	5	5	6	0	5	0	5	4	0	1
190	4	2	2	2	15	2	2	2	2	2	2	10	11	11	10	10	10	5	5	5	6	5	5	0
191	11	2	2	1	10	2	2	2	2	2	2	14	15	15	14	14	14	10	11	10	10	10	10	0
192	13	1	1	2	5	2	2	2	2	2	2	13	12	12	11	10	9	7	6	4	5	3	7	0
193	8	1	1	2	4	2	2	2	2	2	2	14	15	15	14	14	14	11	11	11	11	12	11	0
194	9	2	3	1	12	1	1	1	4	1	2	1	2	4	1	2	2	1	9	0	2	0	5	0
195	13	2	3	2	3	3	4	2	2	2	2	8	6	14	13	13	13	0	13	9	9	9	10	0
196	14	1	1	1	12	1	1	1	1	2	1	4	4	4	4	3	4	10	9	11	0	9	10	0
197	14	1	1	2	3	2	2	2	2	2	2	15	15	14	13	13	13	12	11	10	9	9	10	0
198	6	1	2	2	5	2	2	2	2	2	2	11	11	10	10	10	10	5	4	11	6	5	5	0
199	8	1	2	2	15	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1
200	6	1	3	1	7	4	4	4	4	4	4	12	12	12	11	12	12	7	7	6	7	7	0	0
201	11	2	2	2	1	1	1	1	2	2	1	2	3	3	2	2	2	3	7	0	0	4	5	1
202	1	2	2	2	15	6	6	5	5	4	4	7	7	7	7	7	7	0	3	3	0	5	0	0
203	9	1	1	2	7	1	1	1	1	1	1	6	5	4	8	5	5	11	10	12	12	11	7	0
204	0	2	2	2	8	2	2	2	2	2	0	5	5	5	4	1	1	3	2	3	0	0	0	0
205	5	1	2	1	14	2	2	1	1	0	1	11	11	4	1	1	1	6	7	0	0	1	0	1
206	1	2	2	1	1	2	2	2	2	2	2	7	7	7	6	6	7	4	4	3	5	3	0	0
207	14	2	1	1	8	1	1	1	1	1	1	3	5	4	3	3	5	12	9	7	8	11	10	0
208	10	2	2	1	8	4	4	4	4	2	2	8	9	9	9	9	9	5	7	4	5	7	0	1
209	8	2	1	1	14	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
210	3	2	2	2	10	2	2	2	2	2	2	12	11	11	8	9	9	7	7	6	5	4	4	0
211	8	2	2	2	14	2	2	2	2	2	2	11	9	9	9	9	9	3	4	3	3	11	4	0
212	10	1	1	2	3	2	2	2	2	2	2	10	10	10	10	10	11	11	10	8	8	11	7	0
213	2	2	2	1	8	4	4	2	2	2	2	9	9	9	8	9	9	0	4	2	4	5	3	0
214	2	2	3	1	10	2	2	2	2	2	2	8	8	8	8	9	9	3	4	4	4	4	5	1
215	14	1	1	1	11	2	2	1	2	2	2	5	7	5	7	5	5	12	11	12	9	9	8	0
216	7	2	1	1	9	2	2	2	2	2	2	12	12	12	12	12	12	9	7	7	8	7	10	0
217	5	2	2	1	5	2	2	2	4	4	4	12	12	13	12	12	12	6	11	8	8	0	7	1
218	2	2	2	2	2	2	2	2	2	2	2	5	5	5	5	5	5	2	3	2	1	1	2	0
219	14	1	2	1	11	2	2	2	2	2	2	14	14	14	13	13	13	10	10	9	10	10	9	0
220	4	2	2	2	5	2	2	2	2	2	2	12	12	12	11	11	10	8	8	6	6	6	3	0
221	0	1	1	1	10	1	1	4	2	2	4	4	5	5	5	5	5	10	0	1	4	0	3	1
222	6	1	3	1	15	1	1	1	0	1	1	1	3	1	1	1	1	6	0	0	1	0	1	0
223	12	2	2	1	14	2	2	2	4	2	2	15	15	15	14	14	14	12	13	0	11	11	11	0
224	1	2	1	2	0	2	2	2	2	2	2	7	7	7	6	4	5	3	3	3	1	1	2	0
225	4	2	2	2	14	2	2	2	4	2	2	11	11	11	10	10	10	6	10	0	5	5	5	0
226	4	1	1	2	5	1	2	1	2	2	2	4	5	1	1	2	3	2	1	1	3	1	8	0
227	6	1	2	2	3	2	2	2	0	0	0	10	10	1	1	1	1	2	0	0	0	0	0	0
228	13	2	1	1	12	1	1	1	1	1	1	11	6	10	4	6	11	13	13	11	12	12	10	0
229	5	2	1	2	4	2	2	2	2	2	2	10	10	11	10	10	10	5	5	5	5	9	0	0
230	1	2	2	2	1	3	4	4	4	4	0	4	4	5	4	1	1	0	6	0	0	0	0	1
231	14	1	3	1	11	3	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	2	0
232	7	2	1	2	1	2	2	2	2	2	2	8	7	7	5	5	6	5	5	1	3	3	3	0
233	11	2	2	2	12	1	1	1	1	1	1	3	14	6	3	2	3	13	12	10	4	6	6	0
234	7	2	3	1	7	2	2	2	2	2	1	7	6	6	3	1	3	10	9	7	1	6	12	0
235	7	1	1	2	2	2	2	2	2	2	0	11	12	12	8	0	0	8	9	5	0	0	0	0
236	9	1	2	1	15	2	2	2	2	2	2	15	15	15	14	14	14	11	10	10	10	12	0	0
237	8	2	1	2	8	0	0	4	4	2	2	11	4	2	2	3	2	9	1	8	0	0	0	0
238	14	2	2	2	14	2	2	2	2	2	2	15	15	15	14	14	14	12	11	11	12	12	12	0
239	8	2	2	1	9	2	2	2	2	0	1	7	8	8	1	1	10	5	10	0	0	12	5	0
240	6	2	2	1	8	3	0	0	0	1	4	1	1	1	1	11	3	0	0	0	12	0	6	1
241	7	2	1	2	4	3	4	2	2	2	2	12	12	13	12	12	12	0	10	7	8	8	8	1
242	3	1	2	2	7	7	6	5	4	2	2	10	10	10	10	10	10	0	0	0	4	4	4	0
243	3	1	2	1	14	3	3	0	0	0	0	9	1	1	1	1	1	10	0	0	0	0	0	0
244	1	2	2	3	14	3	4	2	2	2	2	5	5	5	5	5	5	2	2	1	1	2	0	0
245	10	2	2	1	14	4	2	2	2	2	2	13	13	13	13	12	12	10	10	9	8	8	7	1
246	5	2	2	2	7	2	2	2	2	2	2	11	11	11	11	11	11	6	6	6	7	9	7	0
247	2	2	3	1	13	3	4	4	2	2	2	9	9	9	9	9	10	5	0	5	6	7	0	1
248	8	2	2	2	14	1	1	1	1	1	1	5	3	2	2	1	4	6	1	4	0	9	0	0
249	1	2	3	2	14	3	4	1	1	1	1	3	3	2	1	1	1	0	1	1	1	0	2	0
250	3	1	3	2	11	2	2	2	2	2	2	7	7	8	7	8	8	5	5	5	3	3	6	0
251	1	1	2	1	6	3	4	4	4	4	4	4	5	5	4	5	5	1	4	2	3	0	1	1
252	14	2	2	2	9	0	0	0	0	0	0	6	5	5	6	4	6	11	12	12	11	12	11	0
253	5	1	2	2	8	2	2	2	2	2	2	10	10	11	10	11	11	4	5	5	5	6	6	1
254	3	1	3	2	5	2	2	2	2	2	2	10	10	7	7	7	7	5	5	2	3	3	3	0
255	0	1	2	2	0	4	2	2	2	2	2	5	5	6	5	5	5	3	3	2	0	0	0	1
256	9	1	1	2	4	0	1	4	2	2	4	13	13	13	9	9	9	13	0	12	7	0	12	0
257	1	2	2	2	2	2	2	2	2	2	2	7	6	6	7	7	1	5	5	10	0	0	0	0
258	5	1	3	2	15	2	2	2	2	2	1	12	12	6	5	4	2	7	6	0	0	2	2	0
259	12	2	3	2	14	2	2	2	2	2	2	14	14	14	13	13	13	11	10	9	9	9	9	0
260	7	1	2	2	4	2	2	2	0	0	0	14	14	1	1	1	1	11	4	0	0	0	0	0
261	4	1	1	2	2	2	2	2	2	2	2	12	12	12	10	10	10	11	7	4	5	6	6	0
262	2	2	2	2	0	2	2	4	4	4	4	7	7	8	7	8	8	7	4	0	8	0	9	0
263	7	2	2	1	5	4	4	4	4	4	4	13	13	13	13	13	13	11	8	9	8	9	7	1
264	5	1	1	1	10	2	2	2	2	2	2	9	9	10	9	9	9	5	4	3	4	4	4	0
265	7	2	2	2	12	2	2	2	2	2	2	15	15	15	8	4	1	10	11	9	10	0	0	0
266	3	2	2	1	1	2	2	2	2	2	4	8	8	8	6	6	6	4	5	3	3	0	8	1
267	10	1	3	1	15	2	2	2	2	2	2	15	15	14	14	14	14	12	12	11	11	11	11	0
268	11	2	3	1	14	1	1	1	4	4	0	1	1	1	1	1	1	0	1	0	0	0	0	1
269	3	2	1	1	12	2	2	2	2	2	2	10	10	10	10	8	8	5	4	5	5	3	4	0
270	8	2	2	2	13	2	2	2	2	2	2	8	8	8	7	8	8	3	3	6	5	3	3	0
271	6	2	2	1	4	3	4	2	2	2	2	13	13	12	12	12	12	0	9	7	8	11	7	0
272	8	2	1	2	3	2	2	2	2	2	2	14	14	14	13	13	13	10	10	9	9	9	9	0
273	10	2	3	1	11	3	4	1	4	1	2	4	4	4	1	1	1	0	9	0	2	0	7	0
