record_id	age	fare	siblings	children	gender	pclass	label
150	11	7	0	0	1	2	0
151	2	5	0	0	1	3	0
152	5	3	0	0	1	3	0
153	11	12	0	0	1	1	0
154	13	10	1	0	0	2	1
155	14	15	1	0	1	1	0
156	9	2	0	0	1	3	0
157	6	9	2	3	0	2	1
158	8	1	0	0	1	3	0
159	12	4	0	0	1	3	1
160	6	14	1	0	0	1	1
161	5	5	0	0	1	3	0
162	12	8	1	1	1	3	0
163	3	5	0	0	1	3	1
164	11	10	0	0	1	2	0
165	5	0	0	0	1	3	0
166	8	5	1	1	0	3	0
167	3	3	1	1	1	3	0
168	14	10	0	0	0	1	1
169	6	15	1	2	0	1	0
170	14	12	0	0	1	1	1
171	7	3	1	0	1	3	0
172	0	12	0	1	0	2	1
173	0	9	2	1	0	3	1
174	12	0	0	0	1	3	0
175	12	13	0	0	1	3	1
176	2	6	0	0	0	2	1
177	13	11	0	0	1	1	0
178	11	10	0	0	1	1	1
179	10	7	0	0	0	2	1
180	1	10	0	2	0	3	0
181	4	14	0	0	0	1	1
182	12	7	0	0	0	2	1
183	3	1	0	0	0	3	1
184	10	10	0	0	1	1	1
185	2	5	0	0	1	3	0
186	13	11	0	0	1	1	1
187	13	9	0	2	0	3	0
188	2	15	1	0	0	1	1
189	4	2	0	0	1	3	0
190	7	8	0	0	1	3	0
191	10	6	0	0	0	2	1
192	8	11	0	0	1	1	1
193	2	0	0	0	1	3	0
194	2	2	0	0	1	3	0
195	11	7	0	0	0	2	1
196	5	5	0	0	0	3	0
197	10	6	0	0	1	2	0
198	3	7	0	2	0	2	1
199	10	12	1	1	0	2	1
200	8	6	0	0	0	2	1
201	3	9	1	0	1	3	0
202	7	8	1	0	1	3	0
203	8	5	0	0	1	3	0
204	1	15	1	2	0	1	1
205	8	11	1	0	1	2	0
206	1	15	0	1	0	1	1
207	15	6	0	0	0	2	0
208	0	5	0	1	0	3	0
209	9	5	0	0	1	3	1
210	2	5	0	0	1	3	0
211	6	2	0	0	0	3	0
212	4	5	0	0	1	3	0
213	10	7	0	0	1	2	0
214	1	3	0	0	0	3	0
215	14	5	0	0	1	3	0
216	5	1	0	0	1	3	0
217	12	13	1	0	0	1	1
218	8	8	1	0	1	3	0
219	12	11	0	0	1	1	0
220	12	2	0	0	1	3	0
221	8	10	1	0	0	2	1
222	15	5	0	0	0	3	1
223	15	15	0	2	1	1	0
224	4	5	1	0	0	3	0
225	14	7	0	0	1	2	0
226	15	5	0	0	0	3	0
227	5	13	0	1	1	1	1
228	1	11	3	2	0	3	0
229	14	11	0	0	1	1	1
230	11	14	1	0	1	1	0
231	3	5	0	0	1	3	0
232	8	6	0	0	1	2	0
233	14	8	1	0	0	3	0
234	5	0	0	0	0	3	1
235	1	9	0	2	1	3	1
236	7	5	0	0	1	3	0
237	1	12	4	1	1	3	0
238	8	5	0	0	1	3	1
239	8	9	1	0	1	2	0
240	14	13	2	0	0	1	1
241	9	15	0	0	0	1	1
242	8	13	0	0	1	1	0
243	14	1	0	0	1	3	0
244	13	12	0	5	0	3	0
245	7	7	0	0	1	2	0
246	8	7	1	1	0	3	0
247	15	14	1	1	1	1	1
248	4	5	1	0	0	3	0
249	7	8	1	0	1	3	0
250	10	7	0	0	1	2	1
251	7	11	0	0	1	1	1
252	3	15	1	0	0	1	1
253	15	8	0	0	1	3	0
254	8	12	0	1	1	2	0
255	12	11	0	5	0	3	0
256	14	2	0	0	1	3	0
257	11	0	0	0	1	3	0
258	8	9	1	0	1	3	0
259	14	15	0	0	1	1	0
260	10	9	1	0	1	2	0
261	8	8	0	0	1	3	0
262	7	7	0	0	1	2	0
263	9	7	0	0	1	2	0
264	6	11	1	1	0	2	1
265	11	15	1	2	0	1	1
266	14	13	1	0	0	1	1
267	2	10	0	0	1	2	0
268	15	10	0	0	1	1	0
269	7	8	1	0	0	3	1
270	7	13	1	0	1	1	1
271	5	5	0	0	1	3	0
272	3	9	1	1	1	3	0
273	3	14	1	0	0	1	1
274	6	5	0	0	1	3	0
275	0	6	0	1	1	3	1
276	12	5	0	0	1	3	0
277	8	3	0	0	1	3	0
278	3	2	0	0	0	3	1
279	0	11	0	2	1	2	1
280	5	5	0	0	1	3	0
281	4	5	0	0	1	3	0
282	13	15	0	0	0	1	1
283	12	1	0	0	1	3	0
284	3	9	0	1	0	2	1
285	12	2	0	2	0	3	0
286	1	12	4	2	0	3	0
287	8	7	0	0	1	2	0
288	8	0	1	0	1	3	0
289	12	4	0	0	1	3	0
290	10	11	1	2	0	2	1
291	14	14	0	0	1	1	0
292	9	11	0	0	0	1	1
293	11	13	1	0	0	1	1
294	6	1	0	0	1	3	0
295	9	2	0	0	0	3	0
296	2	8	0	0	0	3	0
297	8	3	0	0	1	3	0
298	13	5	0	0	1	3	0
299	4	6	1	0	1	2	0
300	14	13	1	0	1	1	1
301	14	10	0	0	1	1	1
302	5	3	0	0	1	3	0
303	3	15	2	2	0	1	1
304	15	7	0	0	1	2	0
305	3	2	0	0	1	3	0
306	4	2	0	0	1	3	0
307	0	10	1	1	0	2	1
308	5	5	0	0	1	3	0
309	8	3	0	0	1	3	0
310	6	13	1	0	1	1	1
311	12	8	0	2	1	3	0
312	4	2	0	0	1	3	0
313	9	0	0	0	1	3	0
314	7	2	0	0	1	3	1
315	4	4	1	0	1	3	1
316	6	13	0	0	0	1	1
317	13	9	0	1	0	2	1
318	1	10	3	1	0	3	0
319	6	13	0	0	0	1	1
320	15	11	0	0	1	1	1
321	14	14	1	0	1	1	1
322	10	11	0	0	1	1	1
323	9	1	0	0	1	3	0
324	9	11	0	0	1	1	0
325	11	14	1	0	0	1	1
326	15	13	0	0	1	1	0
327	12	13	1	0	1	1	0
328	9	1	0	0	1	3	0
329	5	3	0	0	1	3	0
330	0	15	1	2	1	1	1
331	7	10	1	1	0	2	0
332	13	3	0	0	1	3	0
333	15	12	0	0	1	1	0
334	3	5	0	1	0	3	1
335	14	13	0	1	1	1	0
336	0	8	1	1	0	3	1
337	6	2	1	0	1	3	1
338	3	1	0	0	1	3	0
339	0	12	4	2	0	3	0
340	3	0	0	0	0	3	0
341	6	7	0	0	0	2	1
342	8	2	0	0	1	3	1
343	9	14	0	0	0	1	1
344	1	8	1	0	0	3	1
345	3	0	1	0	1	3	0
346	2	5	0	0	1	3	0
347	12	10	0	0	1	2	0
348	13	14	2	0	1	1	0
349	7	4	0	0	0	3	1
350	11	6	0	0	1	2	0
351	7	7	1	0	0	2	1
352	7	6	0	2	0	3	1
353	8	9	0	0	1	3	0
354	4	1	0	0	0	3	1
355	13	10	0	0	1	1	0
356	12	0	0	0	1	1	0
357	5	15	1	0	0	1	1
358	10	3	0	0	1	3	0
359	11	9	0	0	0	2	1
360	14	11	0	0	1	1	1
361	5	1	0	0	0	3	1
362	8	6	0	0	0	2	1
363	14	14	1	0	0	1	1
364	5	3	0	0	1	3	0
365	14	14	1	0	0	1	1
366	8	5	0	0	1	3	0
367	2	2	0	0	1	3	0
368	0	6	1	1	0	3	1
369	0	11	1	2	0	2	1
370	3	10	0	0	0	2	1
371	15	14	0	1	1	1	0
372	12	8	1	0	1	3	0
373	3	7	0	0	1	2	0
374	15	2	0	0	1	3	0
375	1	10	0	2	0	2	1
376	13	13	1	0	1	1	0
377	2	5	0	0	1	3	0
378	15	9	1	3	0	2	1
379	5	7	0	0	1	2	0
380	12	0	0	0	1	1	0
381	4	5	0	0	1	3	0
382	15	12	0	0	1	1	0
383	3	3	0	0	1	3	0
384	4	5	0	0	0	3	0
385	13	15	0	1	0	1	1
386	9	5	0	0	1	3	0
387	15	13	1	0	0	1	1
388	5	11	1	1	0	2	1
389	0	8	0	2	0	3	1
390	9	5	0	0	1	3	0
391	12	8	0	2	0	3	0
392	3	2	0	0	0	3	0
393	9	3	0	0	0	3	0
394	8	9	2	0	0	3	1
395	10	7	0	0	0	2	1
396	12	14	0	0	0	1	1
397	12	5	1	0	0	3	0
398	7	0	0	0	1	3	1
399	11	3	0	0	1	3	0
400	4	3	0	0	1	3	0
401	0	5	0	1	1	3	1
402	8	0	0	0	1	3	0
403	0	10	3	1	1	3	0
404	3	3	0	0	0	3	1
405	3	8	1	0	0	3	1
406	9	6	0	0	1	2	0
407	1	0	0	0	0	3	1
408	3	10	0	2	0	1	1
409	13	10	1	1	1	2	0
410	14	7	0	0	1	2	0
411	6	4	1	0	0	3	0
412	7	9	0	0	1	3	1
413	0	12	1	2	0	2	1
414	7	3	0	0	1	3	0
415	10	5	0	0	1	3	0
416	8	9	0	4	0	3	0
417	12	14	1	0	0	1	1
418	10	13	1	0	0	1	1
419	7	3	0	0	1	3	0
420	14	10	0	0	0	1	1
421	6	8	1	0	0	3	1
422	4	1	0	0	1	3	0
423	7	2	0	0	1	3	0
424	2	9	1	1	1	3	0
425	12	7	0	0	1	2	0
426	6	2	1	0	1	3	0
427	11	10	0	0	1	1	1
428	10	13	0	0	1	3	1
429	11	15	0	0	1	1	1
430	9	13	0	0	0	1	1
431	5	13	0	2	0	1	1
432	4	6	0	0	0	2	1
433	10	8	1	0	1	3	0
434	15	1	0	0	1	3	0
435	4	4	0	0	1	3	0
436	1	8	1	0	0	3	0
437	3	8	0	0	1	3	0
438	10	2	0	0	0	3	1
439	10	3	0	0	1	3	0
440	6	10	1	0	1	2	0
441	0	12	0	2	1	2	1
442	11	0	0	0	1	3	0
443	3	5	0	0	1	3	0
444	14	13	1	0	1	1	1
445	5	2	0	0	1	3	0
446	13	11	0	0	0	1	1
447	6	0	0	0	1	3	0
448	10	14	0	0	0	1	1
449	4	14	2	0	1	2	0
450	7	0	0	0	1	3	0
451	15	11	0	0	1	1	0
452	13	10	0	0	1	1	1
453	5	2	0	0	0	3	1
454	10	3	0	0	1	3	1
455	8	10	1	0	0	2	1
456	10	7	1	1	1	3	0
457	5	6	2	1	1	2	0
458	10	2	0	0	1	3	0
459	0	9	1	1	1	2	1
460	4	14	8	2	0	3	0
461	10	13	0	0	1	3	1
462	1	14	8	2	0	3	0
463	4	12	2	2	0	3	0
464	13	10	1	0	1	2	0
465	14	7	0	0	1	2	0
466	10	5	0	0	1	3	0
467	0	6	0	1	0	3	1
468	14	14	1	1	1	1	0
469	2	1	0	0	0	3	1
470	3	1	0	0	1	3	0
471	14	7	0	0	1	2	0
472	12	10	0	0	1	3	0
473	12	10	0	0	1	1	1
474	15	15	0	1	0	1	1
475	5	8	0	0	1	2	0
476	8	5	0	0	1	3	1
477	0	12	4	1	1	3	0
478	11	15	0	0	0	1	1
479	3	14	0	2	0	1	1
480	5	15	0	0	1	1	0
481	5	1	0	0	1	3	0
482	15	14	1	1	1	1	0
483	14	13	0	1	0	1	1
484	7	6	0	0	1	2	0
485	12	15	0	0	0	1	1
486	9	5	0	0	0	3	1
487	10	3	0	0	1	3	0
488	0	12	2	1	0	2	1
489	8	7	0	0	0	2	1
490	10	8	3	0	0	3	1
491	5	1	0	0	1	3	0
492	12	5	0	0	0	3	0
493	11	0	0	0	1	3	0
494	6	9	0	3	0	3	1
495	8	12	0	0	1	1	1
496	8	5	0	0	1	3	0
497	12	3	0	0	1	3	0
498	2	12	1	3	1	3	0
499	7	3	0	0	1	3	0
500	15	12	1	1	1	2	0
501	9	3	0	0	1	3	0
502	10	6	0	0	1	2	0
503	0	12	4	2	1	3	0
504	12	15	0	1	1	1	0
505	10	14	0	0	0	1	1
506	5	2	0	0	0	3	1
507	0	8	1	1	1	3	1
508	2	0	1	0	1	3	0
509	1	12	4	2	0	3	0
510	15	10	1	0	1	2	0
511	4	15	2	2	0	1	1
512	8	3	0	0	1	3	0
513	0	14	0	2	1	1	1
514	15	7	0	0	1	2	0
515	9	11	0	0	1	1	0
516	5	0	0	0	1	2	0
517	11	6	0	0	1	2	0
518	0	12	4	2	0	3	0
519	12	14	1	0	0	1	1
520	10	2	0	0	1	3	0
521	5	4	0	0	0	3	0
522	6	13	1	2	0	2	1
523	3	1	0	0	1	3	1
524	12	15	0	0	0	1	1
525	14	6	0	0	0	2	1
526	7	14	0	0	0	1	1
527	13	7	0	0	0	2	1
528	8	3	0	0	1	3	1
529	0	9	1	1	0	2	1
530	1	8	1	1	0	3	0
531	5	5	0	0	1	3	0
532	0	11	4	1	1	3	0
533	15	10	0	0	0	1	1
534	3	5	0	0	0	3	1
535	15	0	0	0	1	3	0
536	8	13	1	0	1	1	0
537	15	10	0	0	1	1	0
538	1	8	1	1	1	3	1
539	13	15	1	1	0	1	1
540	4	8	1	1	1	3	1
541	4	2	0	0	0	3	0
542	11	15	0	0	0	1	1
543	14	15	1	0	0	1	1
544	1	1	1	1	1	3	0
545	9	7	0	0	1	2	0
546	11	15	1	2	1	1	1
547	5	3	0	0	1	3	0
548	13	13	1	0	1	1	1
549	0	7	0	1	0	3	1
550	11	15	0	0	0	1	1
551	1	12	4	2	1	3	0
552	4	2	0	0	1	3	1
553	2	9	2	0	1	3	0
554	11	7	0	0	0	2	1
555	13	15	0	0	0	1	1
556	9	7	0	0	1	2	0
557	10	5	0	0	1	3	0
558	2	6	0	0	1	2	0
559	7	3	0	0	0	3	1
560	8	11	0	0	1	1	0
561	14	13	0	0	1	1	0
562	4	3	0	0	1	3	0
563	0	11	4	1	1	3	0
564	1	9	1	2	0	3	0
565	4	0	0	0	1	3	0
566	15	6	0	0	1	2	0
567	4	5	0	0	1	3	0
568	4	5	0	0	1	3	0
569	0	6	0	0	0	3	1
570	3	6	0	0	1	2	1
571	3	8	1	0	0	3	0
572	12	11	0	0	1	1	1
573	9	1	0	0	1	3	0
574	3	2	0	0	1	3	0
575	6	0	0	0	1	3	1
576	11	6	0	0	1	2	0
577	3	6	0	0	1	2	0
578	2	13	1	0	0	1	1
579	8	2	0	0	1	3	1
580	13	0	0	0	1	3	0
581	7	5	0	0	1	3	1
582	15	10	0	0	1	1	0
583	4	1	0	0	0	3	0
584	2	5	0	0	1	3	1
585	6	15	3	2	0	1	1
586	12	7	0	0	0	2	0
587	4	0	0	0	1	3	0
588	5	2	0	0	1	3	0
589	15	14	1	0	0	1	1
590	0	9	2	1	0	3	1
591	5	13	0	0	1	3	0
592	13	15	0	0	1	1	0
593	0	9	1	2	1	3	1
594	3	13	1	0	1	1	0
595	5	1	1	0	1	3	0
596	2	1	1	1	1	3	0
597	15	8	0	0	1	3	0
598	4	2	0	0	0	3	0
599	2	12	0	1	0	1	1
600	0	12	2	1	1	2	1
601	9	7	0	0	0	2	1
602	13	5	0	1	1	3	0
603	10	0	0	0	1	1	0
604	3	2	0	0	1	3	0
605	8	5	0	0	1	3	0
606	6	7	0	0	1	2	0
607	8	4	2	0	1	3	0
608	6	15	0	1	1	1	0
609	5	5	0	0	1	3	0
610	3	3	0	0	1	3	0
611	3	14	8	2	1	3	0
612	12	11	1	4	1	3	0
613	3	8	1	0	0	3	1
614	3	0	0	0	1	3	0
615	3	5	0	0	1	3	1
616	14	12	0	0	1	1	0
617	1	14	8	2	0	3	0
618	5	1	0	0	1	3	0
619	0	12	4	2	0	3	1
620	15	15	1	4	1	1	0
621	2	2	0	0	0	3	1
622	12	15	1	1	0	1	1
623	12	0	0	0	1	2	0
624	9	8	1	0	1	3	0
625	4	0	0	0	1	2	0
626	11	0	0	0	1	3	0
627	10	4	0	0	1	3	0
628	14	11	0	0	0	1	0
629	9	2	0	0	1	3	0
630	13	12	0	0	1	1	0
631	7	10	0	0	1	2	0
632	8	1	0	0	1	3	0
633	10	10	1	0	1	2	1
634	14	13	1	0	1	1	0
635	5	0	0	0	1	3	1
636	14	15	0	1	0	1	1
637	4	1	0	0	0	3	0
638	5	2	1	0	1	3	0
639	5	13	1	0	0	1	1
640	9	15	1	0	0	1	1
641	15	6	0	0	1	2	1
642	3	9	2	0	0	3	0
643	6	8	1	0	1	3	0
644	8	3	0	0	0	3	0
645	14	15	1	1	1	1	0
646	0	14	8	2	1	3	0
647	6	12	1	2	1	2	0
648	1	15	1	2	1	1	1
649	0	6	1	1	1	3	1
650	15	11	0	0	1	1	0
651	2	6	0	0	0	2	1
652	12	12	1	5	1	3	0
653	1	12	4	1	1	3	0
654	15	6	0	0	1	2	0
655	6	10	2	0	1	3	0
656	2	12	4	1	1	3	0
657	7	5	0	0	1	3	0
658	11	5	0	0	1	3	0
659	6	9	2	0	1	3	1
660	13	14	1	0	1	1	0
661	0	9	0	2	0	3	1
662	9	0	0	0	1	1	0
663	11	10	0	2	1	2	0
664	12	12	0	0	1	1	0
665	9	15	0	2	0	1	1
666	10	13	0	0	1	3	1
667	12	11	0	1	1	1	0
668	13	12	0	0	1	1	0
669	4	5	0	0	1	3	0
670	14	14	1	0	1	1	1
671	8	7	0	0	0	2	1
672	0	12	5	2	1	3	0
673	3	5	0	0	1	3	0
674	1	12	5	2	1	3	0
675	15	2	0	0	1	3	0
676	4	14	0	1	1	1	0
677	14	12	0	0	1	1	0
678	6	3	0	0	1	3	0
679	5	7	0	0	1	2	0
680	1	12	1	1	1	2	1
681	15	11	0	0	1	1	0
682	10	4	0	0	1	3	1
683	9	5	0	0	1	3	0
684	13	5	0	0	1	3	0
685	8	2	0	0	1	3	0
686	9	5	0	0	0	3	0
687	7	14	0	0	1	1	1
688	1	6	1	0	1	3	1
689	0	11	3	2	1	3	0
690	13	13	0	1	0	1	1
691	7	11	0	0	1	1	1
692	9	12	0	0	0	2	1
693	5	0	0	0	1	3	0
694	7	3	0	0	1	3	0
695	9	6	0	0	0	2	1
696	10	4	0	0	1	3	0
697	10	0	0	0	1	3	0
698	12	4	2	0	1	3	0
699	2	2	0	0	0	3	1
700	5	1	0	0	0	3	1
701	10	7	0	0	1	2	0
702	1	1	0	0	0	3	1
703	4	5	0	0	1	3	0
704	13	5	0	0	1	3	1
705	8	10	1	0	1	3	0
706	0	15	1	2	0	1	0
707	12	7	0	0	1	2	0
708	14	13	1	0	1	1	0
