record_id	administrative	administrative_duration	informational	informational_duration	product_related	product_related_duration	bounce_rates	exit_rates	page_values	special_day	month	operating_systems	browser	region	traffic_type	visitor_type	weekend	label
50	0	0	0	0	0	6	5	12	0	0	7	1	3	0	2	2	0	0
51	0	0	0	0	6	14	4	8	0	0	5	1	1	0	12	2	0	0
52	4	2	0	0	1	9	0	0	0	0	6	2	1	0	1	0	0	0
53	0	0	0	0	2	11	5	11	0	1	6	1	1	5	2	2	0	0
54	0	0	0	0	2	7	6	11	0	0	1	2	1	2	2	2	0	0
55	1	0	0	0	0	3	5	12	0	1	6	1	4	8	4	2	0	0
56	0	0	0	0	0	6	7	14	0	0	3	2	1	0	2	2	1	0
57	1	2	0	0	11	2	6	13	0	0	7	0	0	2	2	0	0	0
58	0	0	0	0	2	8	0	8	0	0	5	1	1	1	1	2	0	0
59	5	5	1	1	7	15	6	12	0	0	0	1	1	2	12	2	0	0
60	0	0	0	0	3	11	7	13	0	0	1	2	1	0	2	2	0	0
61	0	0	0	0	4	14	0	0	3	0	7	1	4	5	1	2	0	1
62	4	5	0	0	12	9	0	2	0	0	6	0	0	0	3	2	0	0
63	5	4	0	0	6	3	0	2	0	0	7	0	0	1	1	0	1	0
64	7	8	0	0	0	15	0	1	0	0	7	1	3	0	1	2	0	0
65	0	0	0	0	10	4	7	14	0	0	6	2	1	0	3	2	0	0
66	0	0	0	0	14	2	0	10	0	0	7	0	1	0	0	2	0	0
67	4	1	0	0	0	1	6	13	0	0	7	2	1	0	14	2	1	0
68	3	4	0	0	8	3	0	6	0	0	7	1	1	2	1	2	0	0
69	6	5	0	0	0	5	0	5	0	0	8	0	0	0	1	2	0	0
70	1	0	2	1	0	7	3	6	0	0	3	1	1	6	0	2	0	0
71	4	4	1	1	8	10	1	3	2	0	6	1	1	0	1	2	0	1
72	5	6	0	0	1	4	0	9	0	0	7	0	0	0	1	2	1	0
73	4	2	0	0	4	8	1	3	0	0	7	2	1	0	2	2	0	0
74	0	0	0	0	2	0	8	15	0	0	1	1	1	4	1	2	1	0
75	2	1	0	0	7	3	0	5	0	0	7	1	1	0	1	2	0	0
76	0	0	0	0	11	8	0	12	0	0	5	2	1	2	0	2	1	0
77	0	0	0	0	1	0	8	15	0	0	7	0	7	8	0	2	1	0
78	7	5	1	3	0	15	5	10	0	0	6	1	1	2	12	2	0	0
79	0	0	0	0	0	1	7	14	0	0	7	1	1	2	0	2	0	0
80	0	0	0	0	4	6	7	14	0	1	6	2	1	3	12	2	1	0
81	0	0	0	0	2	9	3	10	0	0	5	2	1	7	9	2	0	0
82	7	5	1	3	3	10	0	6	2	0	3	1	1	5	0	2	0	0
83	0	0	0	0	6	12	3	5	0	0	9	2	1	3	2	2	0	0
84	7	8	3	3	0	14	4	5	2	0	5	0	1	0	1	2	0	0
85	0	0	0	0	0	1	0	14	0	0	6	1	3	4	0	2	0	0
86	2	2	0	0	4	12	0	5	0	0	7	1	1	8	1	2	1	0
87	1	1	0	0	2	7	5	11	0	0	6	0	0	2	2	2	0	0
88	7	5	0	0	4	3	0	8	0	0	1	7	12	8	19	1	0	0
89	0	0	0	0	8	2	7	14	0	1	6	0	0	5	2	2	0	0
90	0	0	0	0	7	4	3	7	0	0	6	1	1	7	1	2	0	0
91	6	8	2	3	0	12	0	8	0	0	1	1	1	3	1	2	0	0
92	0	0	1	0	1	10	5	4	3	0	7	0	0	0	9	2	1	1
93	1	2	0	0	6	10	5	4	0	0	6	2	1	7	14	0	1	0
94	4	5	0	0	10	4	4	13	0	0	8	2	1	0	12	2	0	0
95	7	7	3	2	1	15	3	8	0	0	7	0	0	0	9	2	1	1
96	5	5	3	2	3	6	0	0	0	0	7	2	1	1	5	2	0	0
97	3	3	0	0	2	13	4	10	0	0	7	1	1	0	1	2	0	0
98	1	2	3	1	4	14	0	6	1	0	6	1	1	0	0	2	1	0
99	6	4	0	0	7	11	0	3	0	0	1	1	1	8	1	2	0	0
100	0	0	0	0	12	1	0	14	0	0	6	1	1	0	2	2	0	0
101	0	0	0	0	8	15	0	2	1	0	7	1	3	0	2	2	0	0
102	2	1	0	0	3	14	4	6	0	0	7	0	0	2	9	2	1	0
103	1	1	0	0	11	5	4	10	0	0	6	1	1	4	0	2	0	0
104	1	6	0	0	7	6	0	3	0	0	8	0	1	2	1	0	0	0
105	0	0	0	0	1	8	0	5	3	0	1	1	1	5	9	2	0	1
106	0	0	0	0	4	4	0	7	0	0	7	1	4	2	1	2	0	0
107	4	5	0	0	6	4	0	8	0	0	0	1	5	2	4	0	0	0
108	1	2	0	0	1	12	5	10	1	0	5	2	1	5	0	2	0	1
109	4	7	0	0	15	6	0	8	0	0	8	1	1	3	3	2	0	0
110	0	0	0	0	2	4	7	12	0	0	1	0	0	0	7	2	0	0
111	1	1	0	0	2	11	0	8	2	0	1	1	5	8	2	2	0	0
112	3	5	0	0	0	11	0	1	0	0	5	1	5	1	1	0	0	0
113	0	0	0	0	9	2	0	12	0	0	8	1	3	0	1	2	1	0
114	6	6	0	0	10	12	0	6	0	0	6	2	1	3	3	2	1	0
115	0	0	0	0	6	8	0	11	0	0	5	0	0	0	2	2	0	0
116	5	8	3	2	8	12	1	3	0	0	6	0	0	0	2	2	0	0
117	0	0	0	0	5	10	2	8	0	1	6	1	1	2	1	2	0	0
118	0	0	1	0	4	6	7	13	0	0	6	1	3	2	5	2	0	0
119	0	0	0	0	3	6	0	6	0	0	5	0	0	2	1	2	0	0
120	7	8	0	0	3	12	2	7	0	0	7	2	1	0	0	2	0	0
121	7	7	0	0	2	12	3	6	3	0	2	0	0	2	1	2	0	0
122	0	0	0	0	6	9	7	13	0	0	7	2	1	3	9	2	1	0
123	1	2	0	0	2	5	5	8	1	0	7	0	1	0	0	2	0	0
124	0	0	0	0	5	10	3	2	0	0	7	2	1	3	12	2	0	0
125	0	0	0	0	0	10	0	3	0	1	2	2	1	0	2	2	0	0
126	7	8	3	2	4	15	1	4	0	0	4	1	1	4	1	2	0	0
127	5	5	0	0	5	15	0	0	2	0	7	1	1	0	1	2	0	1
128	0	0	0	0	13	6	0	5	0	0	7	1	1	2	1	2	0	0
129	0	0	0	0	2	2	0	12	0	0	5	1	1	0	0	2	1	0
130	6	8	2	2	1	15	1	4	1	0	6	1	1	0	1	2	0	0
131	3	4	0	0	7	1	0	8	0	0	6	1	1	3	0	2	0	0
132	2	7	0	0	0	8	0	8	0	0	7	0	0	1	1	2	0	0
133	0	0	0	0	3	2	0	12	0	1	6	2	1	2	12	2	0	0
134	6	2	3	2	10	12	4	9	0	0	7	1	1	3	9	2	0	1
135	0	0	0	0	3	13	0	6	0	0	7	1	1	2	10	2	1	0
136	7	6	2	2	4	12	0	2	2	0	6	1	1	2	3	2	0	0
137	0	0	0	0	2	0	8	15	0	1	6	1	1	0	0	2	0	0
138	0	0	0	0	1	12	6	13	0	1	6	1	1	0	12	2	0	0
139	1	0	0	0	6	9	3	8	2	0	1	1	4	0	0	2	0	0
140	1	0	0	0	0	7	0	1	0	0	1	1	1	0	1	0	0	0
141	7	8	3	3	4	15	0	5	0	0	7	1	1	0	9	2	0	1
142	0	0	0	0	4	1	7	14	0	0	7	1	1	0	1	2	1	0
143	5	5	3	3	0	15	3	9	0	0	1	1	1	0	1	2	0	0
144	2	5	0	0	5	4	0	1	0	0	5	2	1	2	1	0	1	0
145	0	0	0	0	2	5	7	14	0	1	6	1	3	8	2	2	0	0
146	0	0	0	0	2	5	0	0	0	0	7	1	1	6	0	2	0	1
147	0	0	0	0	2	2	7	14	0	0	7	0	0	0	0	2	0	0
148	5	6	0	0	10	7	0	4	0	0	5	1	1	7	2	2	0	0
149	0	0	0	0	5	2	0	13	0	1	6	0	0	0	2	2	0	0
150	1	0	0	0	8	5	6	12	0	0	5	1	1	5	0	2	0	0
151	0	0	2	0	0	3	0	7	0	0	7	1	1	0	1	2	1	0
152	2	6	0	0	2	11	0	1	0	0	6	0	1	5	3	2	1	0
153	6	8	0	0	8	5	0	0	0	0	9	2	1	3	2	0	0	0
154	3	3	0	0	4	7	0	2	2	0	1	1	1	1	1	2	0	1
155	6	8	3	3	8	15	3	8	1	0	7	2	1	0	12	2	0	0
156	0	0	0	0	0	0	8	15	0	0	6	1	1	0	3	2	0	0
157	2	1	0	0	3	10	6	14	0	0	5	1	1	2	0	2	0	0
158	0	0	3	2	0	7	3	8	0	0	6	1	1	5	0	2	0	0
159	5	2	3	2	0	6	0	5	0	0	0	1	1	0	3	2	0	0
160	1	0	0	0	9	10	6	9	2	0	6	2	1	5	12	2	0	1
161	3	7	2	2	11	8	3	9	0	0	6	2	1	3	1	2	0	0
162	1	5	0	0	9	8	0	4	0	0	5	1	1	1	1	2	0	0
163	1	2	0	0	3	6	0	0	3	0	1	0	7	0	19	0	0	1
164	5	8	3	2	9	15	2	7	0	0	7	1	3	3	1	2	1	0
165	7	7	0	0	6	13	4	11	2	0	6	1	1	5	5	2	0	1
166	1	0	0	0	3	15	0	3	0	0	6	1	1	6	1	2	0	0
167	4	8	0	0	3	7	6	12	0	0	7	1	3	0	0	2	0	0
168	6	6	3	1	5	6	0	0	0	0	8	1	1	0	1	0	1	0
169	0	0	0	0	8	0	8	15	0	0	6	2	1	5	0	2	1	0
170	4	6	0	0	7	9	5	12	0	1	6	2	1	5	12	2	0	0
171	3	6	0	0	7	3	0	8	0	0	8	0	1	0	0	2	1	0
172	1	0	0	0	2	9	0	4	3	0	6	1	1	2	10	2	0	1
173	0	0	0	0	0	4	0	4	0	0	7	3	0	0	19	2	0	0
174	7	8	3	3	9	15	0	3	0	1	6	1	1	0	12	2	0	0
175	2	2	0	0	5	13	0	0	0	0	5	1	1	2	7	2	0	0
176	0	0	0	0	4	14	6	13	0	0	3	2	1	7	19	2	0	0
177	0	0	0	0	8	10	4	12	0	0	5	2	1	0	2	2	0	0
178	0	0	0	0	0	13	6	13	0	0	7	1	3	7	0	2	0	0
179	6	8	0	0	3	3	4	1	0	0	5	2	1	0	7	0	1	0
180	6	7	1	2	7	14	1	7	0	0	7	1	1	0	9	2	0	0
181	0	0	0	0	0	6	4	6	0	0	7	1	1	0	12	2	0	0
182	2	7	0	0	0	6	6	13	0	0	9	2	1	0	12	2	1	1
183	5	7	3	3	4	10	3	2	0	0	7	2	1	6	5	2	1	0
184	0	0	0	0	3	3	0	12	0	0	6	0	0	5	2	2	0	0
185	4	1	1	0	8	10	0	0	0	0	7	1	1	7	0	0	0	0
186	0	0	0	0	13	2	0	14	0	0	0	1	1	4	12	2	0	0
187	0	0	0	0	14	5	6	13	0	0	4	1	1	2	3	2	0	0
188	0	0	0	0	13	2	0	13	0	0	5	1	3	2	2	2	0	0
189	0	0	0	0	14	3	0	10	0	0	6	3	1	7	2	2	1	0
190	5	4	0	0	1	13	3	7	0	1	6	2	1	2	3	2	0	0
191	6	3	0	0	9	3	0	5	0	0	1	1	1	3	1	0	0	0
192	0	0	0	0	4	6	0	11	0	0	7	0	0	2	9	2	1	0
193	0	0	0	0	2	5	0	1	0	0	1	0	0	5	0	2	0	0
194	0	0	0	0	9	5	0	13	0	0	6	3	0	0	3	2	1	0
195	0	0	0	0	15	2	6	10	0	0	6	1	1	1	3	2	1	0
196	6	5	0	0	14	7	0	2	0	0	1	1	5	0	1	2	1	0
197	1	1	0	0	6	11	0	2	0	0	1	1	1	0	1	0	0	0
198	0	0	0	0	7	15	0	1	1	0	0	1	1	3	0	2	1	1
199	1	0	1	0	13	13	1	8	0	0	1	1	1	0	1	2	0	1
200	1	2	0	0	13	2	0	10	0	0	6	0	0	0	1	2	0	0
201	5	4	2	2	3	10	0	4	0	0	6	1	1	1	0	2	1	0
202	5	3	0	0	6	15	1	3	0	0	7	1	1	1	0	2	1	0
203	0	0	0	0	2	11	3	0	0	0	7	0	0	0	1	2	0	0
204	0	0	0	0	6	2	6	12	0	0	1	2	1	0	1	0	0	0
205	3	8	0	0	7	5	0	1	3	0	5	1	1	8	2	0	0	1
206	4	5	0	0	7	13	0	2	3	0	6	1	1	3	1	2	0	0
207	0	0	0	0	3	1	0	14	0	0	6	1	1	0	2	2	0	0
208	1	1	0	0	2	8	0	5	0	0	5	1	1	6	1	2	0	0
209	0	0	0	0	4	2	7	14	0	0	5	2	1	0	2	2	0	0
210	0	0	0	0	2	8	0	5	0	0	5	1	1	2	0	2	0	0
211	0	0	0	0	6	11	3	6	0	0	3	0	1	0	3	2	0	0
212	6	7	0	0	1	8	2	6	0	0	6	2	1	2	3	2	0	0
213	0	0	0	0	4	0	8	15	0	0	7	0	0	5	5	2	0	0
214	7	6	3	3	5	15	1	6	1	0	7	3	0	3	0	2	0	1
215	1	0	0	0	8	7	0	6	0	0	9	0	0	2	4	0	1	0
216	5	6	0	0	2	7	7	13	0	0	6	0	0	0	3	2	0	0
217	0	0	0	0	11	0	8	15	0	0	5	0	0	3	8	2	1	0
218	0	0	0	0	6	2	5	10	0	0	5	2	1	7	7	2	0	0
219	5	2	0	0	2	1	0	10	0	0	5	3	0	0	7	0	1	0
220	0	0	0	0	6	9	0	0	0	0	0	1	3	0	3	0	1	0
221	0	0	0	0	3	10	7	13	0	1	6	1	1	3	0	2	1	0
222	2	1	0	0	2	8	0	8	0	0	6	2	1	0	18	2	0	0
223	0	0	0	0	3	1	0	12	0	0	5	1	1	2	0	2	0	0
224	7	5	3	2	10	15	2	5	0	0	4	1	1	5	0	2	0	0
225	3	5	1	0	1	15	1	4	0	0	7	1	1	0	1	2	0	1
226	6	7	0	0	11	14	4	9	1	0	7	1	1	2	0	2	0	1
227	2	6	0	0	4	10	0	1	0	0	7	1	3	5	10	0	1	0
228	6	8	2	1	7	12	1	2	1	0	8	0	0	5	1	2	1	0
229	6	7	3	3	8	15	3	9	0	0	7	0	1	1	0	2	0	0
230	1	5	0	0	13	10	0	0	2	0	1	2	1	2	1	0	0	1
231	1	2	0	0	9	10	0	8	3	0	7	1	3	8	1	2	0	0
232	2	2	0	0	4	7	0	4	0	0	1	0	0	2	1	0	0	0
233	0	0	0	0	13	2	0	12	0	0	5	0	0	0	8	2	1	0
234	0	0	1	2	8	10	0	1	0	0	5	1	1	2	1	0	0	0
235	0	0	0	0	4	10	5	12	0	0	1	1	9	3	0	2	0	0
236	3	6	0	0	10	5	5	5	0	0	7	2	1	0	1	2	0	0
237	4	4	0	0	11	15	0	1	0	0	1	1	1	0	1	2	0	1
238	3	6	0	0	4	11	6	11	0	0	7	2	1	0	12	2	0	0
239	3	4	0	0	7	9	0	2	0	0	7	0	0	0	2	2	0	0
240	6	5	3	2	13	12	3	7	0	0	9	0	0	6	4	2	0	0
241	0	0	0	0	9	0	8	15	0	0	6	1	1	5	5	2	0	0
242	0	0	0	0	8	0	8	15	0	0	9	0	0	1	1	2	0	0
243	0	0	0	0	10	3	5	5	0	0	7	0	0	0	1	0	0	0
244	5	8	0	0	4	14	0	0	0	0	8	2	1	8	2	2	1	0
245	0	0	0	0	11	11	0	2	3	0	7	1	1	1	6	2	0	1
246	4	5	3	2	6	14	2	5	0	0	7	1	1	2	1	2	1	0
247	2	3	2	1	4	15	3	9	3	0	7	3	0	0	1	2	0	0
248	0	0	2	1	11	13	0	11	0	0	7	1	1	0	0	2	0	0
249	1	0	0	0	14	6	6	10	0	0	1	0	0	7	1	2	1	0
250	2	6	0	0	12	8	1	4	1	0	5	0	0	6	0	2	1	1
251	6	6	0	0	8	10	0	8	2	0	8	1	1	0	1	2	0	0
252	0	0	0	0	1	13	7	14	0	0	7	0	0	1	0	2	0	0
253	0	0	0	0	3	3	0	8	0	0	5	2	1	1	2	2	0	0
254	6	8	1	0	1	15	3	9	0	0	0	0	0	2	1	2	0	0
255	0	0	0	0	8	2	0	14	0	0	2	1	1	0	1	2	0	0
256	0	0	0	0	1	1	0	14	0	0	7	2	1	2	2	2	0	0
257	7	8	1	2	2	15	1	3	0	0	9	1	1	8	0	2	0	0
258	7	8	0	0	12	12	2	9	0	0	7	1	1	0	1	2	1	0
259	7	4	0	0	4	11	1	1	1	0	8	1	1	0	2	2	0	0
260	0	0	0	0	6	6	2	8	0	0	7	1	9	6	9	2	0	0
261	6	8	0	0	0	4	0	4	0	0	6	2	1	4	3	0	1	0
262	6	2	0	0	10	15	3	7	1	0	7	1	1	2	1	2	0	1
263	7	8	0	0	4	9	0	3	0	0	7	1	1	6	19	2	1	0
264	6	8	3	2	10	11	5	11	0	0	0	2	1	2	1	2	1	0
265	0	0	0	0	13	10	3	8	0	0	1	1	1	2	1	2	1	0
266	7	8	0	0	8	11	0	1	0	0	3	1	1	7	5	0	0	1
267	5	6	1	1	3	7	0	1	0	0	1	1	1	3	1	2	0	0
268	6	7	0	0	7	5	0	1	0	0	5	0	0	0	8	2	1	0
269	5	8	0	0	3	10	4	5	1	0	6	2	1	2	1	2	0	0
270	7	5	1	2	6	12	3	5	0	0	5	0	0	0	2	2	1	0
271	0	0	0	0	0	5	0	1	0	0	2	0	0	3	3	2	0	0
272	0	0	0	0	6	2	5	12	0	0	5	1	1	5	0	2	0	0
273	6	5	3	3	12	12	0	6	1	0	1	1	0	0	1	2	0	1
274	0	0	0	0	3	1	7	14	0	0	5	1	1	0	0	2	0	0
275	1	6	1	2	1	8	0	5	0	0	1	0	0	7	1	0	1	0
276	1	0	2	1	5	15	0	8	0	0	7	2	1	0	2	2	1	0
277	0	0	0	0	8	4	0	12	0	0	6	1	1	6	2	2	1	0
278	1	1	2	1	3	12	5	11	0	1	6	1	1	0	5	2	1	0
279	0	0	0	0	11	5	0	2	0	0	7	2	1	0	9	2	0	0
280	7	8	1	0	2	6	5	9	0	0	5	2	1	2	1	2	0	0
281	1	4	0	0	5	7	1	2	1	0	8	0	0	2	1	2	1	1
282	0	0	0	0	11	12	4	8	0	0	1	0	0	2	1	2	0	0
283	4	5	2	0	3	13	2	8	0	0	9	1	1	2	12	2	0	0
284	3	2	0	0	5	1	0	11	0	0	5	1	4	0	0	2	0	0
285	0	0	0	0	4	1	0	14	0	0	7	0	0	0	1	0	1	0
286	0	0	0	0	0	5	0	2	0	0	1	1	1	0	5	2	0	0
287	1	4	0	0	11	9	0	6	0	0	6	1	3	2	2	2	0	0
288	0	0	0	0	14	0	8	15	0	0	7	1	1	0	0	2	0	0
289	6	6	0	0	2	13	3	9	0	0	1	1	0	0	1	2	0	1
290	3	6	0	0	13	1	0	6	0	0	5	2	1	6	0	2	0	0
291	2	1	0	0	4	5	6	12	0	1	6	1	1	5	5	2	0	0
292	7	5	0	0	12	13	5	10	0	0	0	1	3	3	1	2	0	0
293	2	5	0	0	0	7	0	2	0	0	0	2	1	6	12	2	0	0
294	5	3	0	0	6	7	0	3	0	0	8	1	1	5	2	2	0	0
295	0	0	0	0	6	0	8	15	0	0	7	3	0	3	2	2	0	0
296	6	7	3	3	11	13	2	6	1	0	5	0	0	1	1	2	1	1
297	5	6	3	2	9	14	4	10	1	0	7	0	0	3	0	2	0	1
298	0	0	0	0	0	7	3	2	0	0	5	2	1	2	0	2	0	0
299	2	8	0	0	2	11	0	8	0	0	5	1	1	0	7	2	0	0
300	2	0	0	0	7	6	3	8	0	0	7	1	1	0	9	2	0	0
301	0	0	0	0	7	2	0	12	2	0	0	0	0	7	2	0	0	1
302	0	0	0	0	1	10	2	11	0	1	6	1	1	2	10	2	0	0
303	7	8	3	3	11	15	0	2	3	0	1	1	1	0	5	2	0	0
304	3	4	0	0	2	8	2	7	0	0	7	0	0	3	0	2	1	0
305	4	1	0	0	0	7	0	6	1	0	5	2	1	3	1	2	1	0
306	0	0	1	2	1	10	5	12	0	0	5	3	1	0	1	2	0	0
307	1	1	0	0	1	8	0	0	2	0	8	1	1	6	2	0	1	0
308	4	4	0	0	6	11	3	6	3	0	6	2	1	0	1	2	1	1
309	0	0	0	0	9	2	7	14	0	0	3	0	0	0	0	2	0	0
310	0	0	0	0	10	2	0	11	0	0	2	1	1	0	2	2	0	0
311	3	4	1	1	2	11	0	5	1	0	6	1	1	0	3	2	0	0
312	0	0	0	0	5	6	6	11	0	0	6	0	0	0	3	2	1	0
313	7	8	2	1	10	10	0	5	2	0	7	1	4	0	4	2	0	0
314	0	0	0	0	11	5	0	4	0	0	3	0	7	0	0	2	0	0
315	2	2	0	0	13	10	0	2	2	0	1	1	1	2	1	2	0	1
316	0	0	2	1	1	13	2	9	0	0	7	1	1	0	0	2	1	0
317	7	7	0	0	2	15	1	4	0	0	7	1	1	6	1	2	0	0
318	0	0	0	0	3	12	5	10	2	0	1	3	0	0	1	2	1	0
319	0	0	0	0	12	5	2	11	0	0	2	1	3	4	1	2	0	0
320	5	3	1	3	9	15	0	2	1	0	7	1	1	0	1	2	0	0
321	0	0	1	1	3	15	2	8	0	0	1	1	0	0	1	2	0	0
322	6	5	3	1	5	12	5	8	2	0	6	2	1	2	10	2	0	0
323	3	5	0	0	11	9	0	0	0	0	8	0	0	0	1	0	1	0
324	0	0	0	0	14	0	8	15	0	0	6	1	1	0	2	2	0	0
325	2	2	1	2	2	7	0	0	0	0	6	1	1	6	17	0	0	0
326	0	0	0	0	1	7	1	10	0	1	6	1	1	1	3	2	1	0
327	0	0	0	0	7	13	6	12	0	0	7	1	1	0	10	2	1	1
328	0	0	0	0	5	4	0	1	0	0	5	1	1	5	1	2	0	0
329	1	3	1	1	4	15	3	7	0	0	7	2	1	2	0	2	0	0
330	4	4	0	0	0	5	0	6	0	0	7	1	1	2	10	2	0	0
331	3	2	0	0	13	5	0	3	0	0	5	1	1	1	0	2	0	0
332	4	6	2	0	8	10	0	1	0	0	5	0	0	0	2	2	0	0
333	0	0	0	0	14	0	8	15	0	0	7	1	5	0	0	2	0	0
334	0	0	0	0	14	11	6	12	0	0	3	2	1	8	12	2	0	0
335	7	8	0	0	6	14	0	0	0	0	7	2	1	3	12	2	0	0
336	0	0	2	2	4	14	1	8	0	0	7	1	1	0	1	0	0	0
337	3	1	0	0	13	6	0	5	0	0	7	3	0	2	0	2	0	0
338	0	0	0	0	2	9	3	9	0	0	5	1	1	1	0	2	1	0
339	0	0	0	0	10	3	0	12	0	0	1	0	7	8	1	2	0	0
340	1	1	0	0	4	13	0	0	0	0	6	1	1	0	1	2	1	0
341	0	0	0	0	0	0	8	15	0	0	5	1	1	0	2	2	0	0
342	1	5	0	0	4	14	1	1	0	0	1	1	1	0	1	2	0	0
343	0	0	0	0	9	7	0	0	0	0	3	1	1	2	1	2	0	0
344	0	0	0	0	0	14	0	0	3	0	7	1	1	0	9	2	0	1
345	1	2	0	0	2	3	6	3	0	0	5	0	1	0	8	0	1	0
346	0	0	0	0	6	10	7	14	0	0	4	2	1	1	12	2	1	0
347	7	8	3	3	12	15	2	3	1	0	0	1	1	2	0	2	1	0
348	1	1	0	0	9	3	7	13	0	0	8	0	0	0	19	2	0	1
349	0	0	0	0	6	9	7	14	0	0	9	1	1	1	0	2	0	0
350	5	6	0	0	7	9	5	5	0	0	0	1	1	2	3	2	0	0
351	0	0	0	0	5	1	7	14	0	0	6	1	1	3	2	2	0	0
352	0	0	0	0	8	15	2	7	0	0	7	1	1	1	0	2	0	0
353	1	0	0	0	13	13	5	11	0	0	1	1	1	2	2	2	0	0
354	0	0	0	0	10	8	0	7	3	0	7	1	1	1	1	2	0	1
355	3	6	0	0	10	11	0	6	0	0	7	1	1	3	1	2	0	0
356	0	0	0	0	2	1	0	14	0	0	6	0	0	0	2	2	0	0
357	0	0	3	2	9	15	2	7	0	0	7	1	1	0	1	2	0	1
358	0	0	0	0	12	3	0	4	0	1	6	1	1	1	1	2	0	0
359	6	4	0	0	0	11	0	5	1	0	7	1	1	0	2	2	0	1
360	0	0	0	0	9	1	0	13	0	0	5	1	3	2	0	2	1	0
361	0	0	0	0	6	4	0	13	0	0	6	0	0	7	2	2	0	0
362	3	6	2	2	2	12	0	1	0	0	6	1	3	2	1	2	0	0
