record_id	age	decile_score	priors_count	days_b_screening_arrest	is_recid	c_charge_degree	sex	age_cat	score_text	race	label
39	6	0	5	3	0	1	0	0	1	0	0
40	12	7	7	3	1	1	0	0	0	0	1
41	6	7	0	4	0	0	0	0	1	0	0
42	8	0	1	3	0	1	0	0	2	0	0
43	14	0	2	4	1	0	0	1	1	2	1
44	14	1	0	3	1	0	0	1	1	0	1
45	15	1	7	1	0	1	1	1	2	2	0
46	12	2	3	0	0	0	0	0	1	2	0
47	8	2	3	3	1	1	1	0	1	0	1
48	12	2	1	3	1	0	0	0	2	0	1
49	12	2	3	4	1	1	1	0	2	2	1
50	9	3	2	4	1	1	0	0	1	5	1
51	13	3	0	3	0	0	0	1	1	5	0
52	4	4	1	3	0	1	1	0	2	0	0
53	5	4	3	3	1	1	0	0	0	0	1
54	14	8	1	2	0	1	0	1	1	5	0
55	13	8	7	3	1	1	0	1	0	0	1
56	8	1	0	3	0	0	0	0	1	1	0
57	14	1	5	3	1	1	0	1	2	2	1
58	8	0	1	3	1	0	1	0	1	2	1
59	11	0	2	1	0	1	0	0	1	0	0
60	7	2	2	3	0	1	0	0	1	0	0
61	13	2	6	1	0	1	1	1	1	2	0
62	4	0	3	3	0	1	0	0	2	0	0
63	2	0	2	3	1	1	1	2	2	0	1
64	6	6	6	3	0	0	0	0	2	0	0
65	6	6	4	4	0	1	0	0	0	0	0
66	13	3	3	3	0	1	0	1	1	2	0
67	7	3	5	3	1	1	0	0	2	0	1
68	9	3	3	4	0	0	0	0	2	0	0
69	10	3	5	3	0	1	0	0	2	0	0
70	14	8	0	4	0	1	0	1	1	2	0
71	1	8	0	3	1	0	1	2	2	2	1
72	2	3	1	3	1	1	0	2	2	0	1
73	4	3	7	4	1	1	0	0	0	0	1
74	0	7	3	3	1	1	0	2	2	0	1
75	8	7	3	3	1	0	0	0	1	2	1
76	5	5	2	3	0	1	0	0	1	0	0
77	14	5	3	1	1	0	0	1	1	0	0
78	4	0	5	0	0	0	0	0	0	0	0
79	5	0	0	3	0	0	0	0	1	0	0
80	4	8	5	3	0	1	0	0	2	0	0
81	2	8	5	3	1	1	0	2	0	5	1
82	3	0	3	2	1	1	0	2	1	0	1
83	8	0	0	4	0	0	0	0	1	3	0
84	3	6	0	3	0	1	0	2	1	5	0
85	12	6	2	3	0	1	0	0	2	0	0
86	13	0	7	3	1	1	0	1	0	0	1
87	2	0	1	1	1	1	0	2	2	2	1
88	5	0	0	3	1	0	1	0	1	0	1
89	9	0	0	3	1	1	0	0	0	0	1
90	12	5	0	2	1	0	0	0	1	3	1
91	1	5	3	4	0	1	0	2	0	0	0
92	6	1	0	2	0	0	0	0	1	0	0
93	9	1	4	1	1	1	1	0	2	2	1
94	15	1	2	3	1	0	0	1	1	2	1
95	12	1	3	0	0	1	0	1	1	3	0
96	11	4	0	3	0	1	0	0	1	2	0
97	12	4	1	3	0	1	0	0	1	5	0
98	11	5	0	4	0	0	1	0	1	2	0
99	1	5	0	3	0	1	0	2	2	0	0
100	2	0	0	3	1	1	1	2	2	0	1
101	15	0	3	4	0	1	0	1	1	0	0
102	2	0	1	0	0	0	0	2	1	0	0
103	12	0	2	3	1	1	0	0	1	2	1
104	11	4	7	3	1	0	0	0	1	0	1
105	3	4	0	4	0	1	0	2	0	2	0
106	11	7	0	2	0	1	0	0	1	0	0
107	11	7	5	4	1	1	1	0	0	0	1
108	6	0	3	3	1	0	0	0	0	0	1
109	8	0	0	3	0	0	0	0	1	2	0
110	9	7	0	3	0	1	0	0	1	2	0
111	6	7	3	3	1	1	0	0	1	0	1
112	3	0	6	1	1	0	0	2	0	0	1
113	12	0	0	4	0	0	0	0	1	3	0
114	2	4	6	3	1	1	0	2	2	2	0
115	4	4	2	3	1	1	0	0	1	0	1
116	4	0	3	3	1	1	0	0	2	2	1
117	4	0	2	3	1	1	0	0	2	3	1
118	7	1	1	3	0	0	0	0	1	0	0
119	7	1	6	3	1	1	1	0	0	0	1
120	13	1	0	3	0	0	0	1	1	2	0
121	7	1	0	4	0	1	0	0	1	3	0
122	1	1	1	4	0	1	0	2	2	0	0
123	11	1	6	4	1	1	0	0	2	0	1
124	5	6	1	4	1	1	0	0	2	0	1
125	7	6	1	1	0	1	0	0	1	3	0
126	3	6	0	3	0	0	0	2	1	3	0
127	4	6	1	3	1	1	1	0	1	0	1
128	4	4	6	3	1	0	0	0	0	0	1
129	12	4	2	3	0	0	0	0	1	0	0
130	12	7	0	3	0	0	1	0	1	0	0
131	8	7	3	3	1	1	0	0	0	0	1
132	15	0	2	0	0	0	0	1	1	2	0
133	4	0	7	3	1	1	0	0	0	5	1
134	11	4	2	3	1	1	0	0	1	0	1
135	13	4	6	3	1	1	0	1	1	2	1
136	4	5	6	3	1	0	0	0	2	2	1
137	9	5	6	2	1	1	1	0	2	0	1
138	1	6	0	4	0	1	1	2	2	2	0
139	4	6	0	4	0	0	1	0	1	3	0
140	6	0	0	2	0	0	1	0	2	2	0
141	1	0	0	4	0	1	0	2	1	0	0
142	12	4	0	3	0	0	0	1	1	5	0
143	10	4	6	0	0	1	0	0	2	3	0
144	10	4	1	4	0	1	0	0	2	3	0
145	5	4	1	3	0	1	0	0	1	3	0
146	5	8	1	2	0	1	0	0	1	0	0
147	7	8	3	3	1	0	0	0	1	0	1
148	9	6	5	3	1	1	0	0	0	0	1
149	6	6	0	3	0	1	0	0	1	2	0
150	0	3	1	1	1	1	0	2	0	4	1
151	9	3	1	3	0	1	0	0	1	0	0
152	9	2	0	3	0	1	0	0	1	0	0
153	10	2	1	3	1	0	0	0	1	2	1
154	8	1	2	3	1	1	1	0	1	2	1
155	1	1	0	3	1	1	0	2	2	0	1
156	9	7	0	3	0	1	1	0	1	5	0
157	11	7	0	3	0	1	0	0	0	0	0
158	15	1	7	4	1	1	0	1	2	0	1
159	4	1	3	3	1	1	0	0	0	0	1
160	11	5	7	3	1	1	0	0	0	0	1
161	9	5	0	3	0	0	0	0	1	3	0
162	1	7	0	3	0	1	0	2	1	2	0
163	9	7	6	3	0	1	0	0	2	0	0
164	14	3	2	3	0	0	0	1	1	5	0
165	1	3	1	4	1	1	0	2	0	0	1
166	9	0	2	3	1	1	0	0	1	0	1
167	1	0	0	4	1	1	0	2	2	3	1
168	12	2	2	3	0	1	0	0	1	2	0
169	8	2	7	3	0	1	0	0	0	0	0
170	0	4	0	4	1	1	0	2	1	0	1
171	4	4	2	3	1	1	0	0	1	1	1
172	11	7	0	4	0	1	0	0	1	0	0
173	14	7	4	3	0	1	0	1	1	0	0
174	2	4	1	4	0	0	0	2	2	0	0
175	8	4	5	3	1	1	0	0	0	0	1
176	4	2	1	1	0	1	1	0	2	2	0
177	5	2	5	3	0	1	1	0	0	2	0
178	1	7	7	3	1	1	0	2	0	0	1
179	6	7	4	3	1	1	0	0	2	0	1
180	4	1	3	3	1	1	0	0	2	0	1
181	15	1	0	3	0	1	0	1	1	0	0
182	12	8	2	3	0	1	0	1	1	2	0
183	11	8	1	3	0	1	0	0	1	2	0
184	8	2	2	4	1	0	0	0	2	3	1
185	6	2	0	3	1	0	0	0	1	0	1
186	1	4	3	3	1	1	0	2	2	0	1
187	0	4	1	4	1	1	0	2	0	0	1
188	13	0	2	3	0	1	0	1	0	0	0
189	13	0	0	4	0	0	0	1	1	2	0
190	15	0	0	4	0	0	0	1	1	2	0
191	8	0	1	3	0	0	0	0	2	0	0
192	6	1	3	3	0	0	0	0	1	0	0
193	6	1	5	2	1	1	0	0	2	2	1
194	3	0	0	4	0	0	1	2	1	3	0
195	11	0	1	0	0	1	0	0	1	2	0
196	11	0	7	0	1	0	0	0	0	0	1
197	2	0	1	4	0	1	0	2	0	3	0
198	5	4	2	3	1	1	0	0	2	2	1
199	13	4	1	3	0	1	0	1	1	0	0
200	7	4	3	0	1	1	1	0	2	3	1
201	13	4	1	1	0	1	0	1	2	0	0
202	4	0	5	3	1	1	0	0	2	3	1
203	8	0	6	4	0	1	1	0	2	0	0
204	1	1	0	3	1	1	1	2	2	2	1
205	1	1	2	3	0	1	0	2	2	0	0
206	10	2	2	4	0	1	0	0	2	0	0
207	10	2	0	2	0	1	1	0	1	0	0
208	5	3	6	3	1	1	0	0	0	0	1
209	9	3	5	3	0	1	1	0	1	0	0
210	6	8	1	3	0	0	0	0	1	0	0
211	7	8	0	3	0	1	0	0	1	0	0
212	0	1	0	3	1	1	0	2	2	0	1
213	2	1	0	3	1	0	0	2	1	5	1
214	6	8	0	3	0	0	1	0	2	2	0
215	11	8	1	4	0	1	0	0	2	2	0
216	6	7	1	4	1	0	0	0	1	0	1
217	12	7	1	3	0	1	0	0	1	0	0
218	8	0	6	4	1	1	0	0	2	0	1
219	4	0	0	3	0	0	0	0	1	2	0
220	13	0	7	0	1	1	0	1	2	2	1
221	12	0	1	2	0	1	1	0	1	2	0
222	7	1	1	3	0	1	1	0	1	5	0
223	11	1	3	4	1	1	0	0	1	0	1
224	6	8	7	3	1	1	0	0	0	0	1
225	8	8	2	4	1	1	0	0	2	0	1
226	1	0	3	3	1	0	0	2	0	0	1
227	7	0	0	3	0	1	0	0	1	0	0
228	3	6	1	3	1	0	0	2	1	0	1
229	5	6	6	1	1	1	1	0	2	0	0
230	14	3	0	4	0	1	0	1	1	2	0
231	8	3	6	1	1	1	0	0	1	2	1
232	8	6	7	3	1	1	0	0	0	0	1
233	2	6	2	2	1	1	0	2	2	0	1
234	6	4	1	3	0	0	0	0	2	0	0
235	15	4	1	1	0	1	1	1	1	2	0
236	9	1	1	3	0	1	0	0	2	2	0
237	0	1	1	3	1	1	0	2	1	0	1
238	13	7	0	1	1	0	1	1	1	2	1
239	1	7	0	3	1	0	0	2	2	0	0
240	4	0	4	4	0	0	0	0	1	2	0
241	6	0	7	3	1	1	0	0	0	0	1
242	4	0	0	4	0	0	1	0	1	2	0
243	13	0	2	4	0	0	0	1	1	3	0
244	13	6	7	0	1	1	0	1	0	2	1
245	14	6	0	3	0	1	0	1	1	2	0
246	6	5	0	3	0	1	1	0	2	0	0
247	15	5	3	3	1	0	0	1	1	0	1
248	7	4	7	3	1	1	0	0	0	0	1
249	0	4	0	3	1	1	1	2	1	2	1
250	6	1	7	3	1	1	0	0	0	3	1
251	9	1	1	4	1	0	0	0	1	5	1
252	11	1	0	3	0	0	0	0	1	2	0
253	10	1	2	3	0	1	1	0	1	2	0
254	4	2	5	3	0	0	0	0	2	0	0
255	13	2	0	4	0	0	0	1	1	2	0
256	9	7	2	3	0	1	0	0	1	0	0
257	0	7	1	0	1	1	0	2	0	2	1
258	4	0	1	3	1	1	1	0	2	0	1
259	13	0	3	4	0	1	0	1	2	0	0
260	13	0	0	3	0	0	0	1	1	2	0
261	1	0	0	3	0	1	0	2	1	0	0
262	8	7	0	3	1	1	0	0	1	2	1
263	8	7	6	3	1	1	0	0	2	0	1
264	6	0	0	3	0	1	1	0	1	0	0
265	13	0	3	0	0	1	1	1	2	0	0
266	7	8	6	1	1	1	0	0	2	0	1
267	11	8	4	2	1	1	0	0	2	2	1
268	9	2	1	2	0	0	0	0	1	0	0
269	9	2	0	3	0	1	0	0	1	5	0
270	9	2	1	3	0	0	1	0	1	0	0
271	12	2	5	3	1	1	0	0	2	2	1
272	4	6	1	4	0	0	0	0	1	0	0
273	0	6	2	3	1	1	0	2	0	0	1
274	13	6	2	3	1	1	0	1	1	2	1
275	2	6	3	1	1	0	0	2	0	0	1
276	15	5	1	3	1	1	0	1	1	2	1
277	9	5	3	4	1	1	0	0	1	5	1
278	7	2	2	3	1	1	0	0	2	0	1
279	15	2	6	1	1	1	0	1	0	0	1
280	8	5	0	4	0	1	0	0	1	2	0
281	3	5	2	3	0	1	0	2	2	2	0
282	4	3	4	3	1	0	0	0	2	0	1
283	11	3	6	3	1	1	0	0	0	2	1
284	3	2	1	3	1	1	0	2	1	0	1
285	8	2	4	3	1	1	0	0	2	0	1
286	8	6	2	4	1	0	0	0	1	2	1
287	3	6	6	0	1	1	0	2	0	0	1
288	5	4	0	4	0	0	0	0	1	0	0
289	9	4	1	4	0	0	0	0	1	3	0
290	12	1	6	4	1	1	0	0	2	2	1
291	1	1	0	4	1	1	0	2	0	0	1
292	15	0	2	3	1	1	0	1	1	3	1
293	13	0	1	3	0	1	0	1	1	2	0
294	12	3	0	3	0	1	0	0	1	3	0
295	4	3	1	4	0	0	1	0	0	0	0
296	12	7	1	3	1	1	0	0	2	2	1
297	11	7	2	3	0	0	0	0	1	3	0
298	15	2	1	1	1	1	1	1	1	0	1
299	8	2	3	0	0	1	0	0	1	0	0
300	4	8	4	3	1	0	1	0	2	0	1
301	8	8	0	4	0	1	0	0	1	2	0
302	2	0	1	3	0	0	0	2	0	0	0
303	8	0	5	4	1	0	0	0	1	2	1
304	12	0	2	4	1	1	0	0	1	2	1
305	14	0	1	3	0	0	0	1	1	2	0
306	1	0	0	3	1	1	0	2	2	0	0
307	14	0	2	3	0	1	0	1	1	3	0
308	14	1	1	3	1	1	0	1	1	1	1
309	9	1	1	3	1	0	0	0	1	0	1
310	6	6	3	3	1	0	0	0	1	0	1
311	5	6	1	3	1	0	0	0	2	2	1
312	4	1	0	0	1	0	0	0	2	0	1
313	15	1	2	4	0	1	0	1	1	0	0
314	6	7	6	3	1	1	0	0	0	1	0
315	6	7	6	0	1	1	0	0	2	2	1
316	9	6	3	4	0	1	0	0	2	0	0
317	15	6	2	2	0	1	0	1	1	2	0
318	0	8	1	3	1	1	0	2	0	0	1
319	10	8	3	4	0	1	0	0	2	0	0
320	15	8	6	0	0	0	0	1	2	0	0
321	5	8	6	3	0	1	0	0	2	0	0
322	14	0	0	4	1	0	0	1	1	0	1
323	6	0	5	3	1	1	0	0	2	0	1
324	4	3	6	3	0	1	0	0	1	2	0
325	13	3	3	3	0	1	0	1	1	2	0
326	5	5	6	3	1	1	0	0	2	0	1
327	6	5	6	0	1	1	0	0	0	0	1
328	6	0	7	4	1	1	0	0	0	0	1
329	9	0	3	1	0	1	0	0	1	0	0
330	13	8	3	3	1	1	0	1	1	0	1
331	13	8	1	4	0	0	0	1	1	2	0
332	10	2	3	3	1	0	0	0	1	3	1
333	13	2	0	4	0	0	0	1	1	0	0
334	9	5	1	3	0	1	0	0	2	0	0
335	4	5	1	1	1	1	0	0	1	0	1
336	8	0	5	3	0	0	0	0	1	0	0
337	8	0	7	3	1	1	0	0	0	0	1
338	6	8	5	3	1	1	0	0	1	0	0
339	13	8	0	3	0	0	1	1	1	0	0
340	9	3	1	3	0	1	0	0	1	2	0
341	6	3	0	3	0	0	0	0	1	5	0
342	4	2	1	3	1	1	0	0	0	0	1
343	3	2	0	3	0	0	1	2	1	0	0
344	8	0	1	3	1	1	0	0	0	0	1
345	12	0	0	3	0	0	1	0	1	2	0
346	1	3	0	3	1	1	0	2	1	3	1
347	10	3	5	0	0	0	0	0	2	0	0
348	8	5	7	3	1	1	0	0	0	0	1
349	7	5	1	4	1	1	0	0	1	3	1
350	5	7	0	3	0	1	0	0	1	0	0
351	11	7	3	4	1	1	0	0	1	3	1
352	9	5	7	0	0	1	0	0	0	0	0
353	15	5	3	4	0	0	0	1	1	0	0
354	4	8	4	3	1	1	0	0	0	0	1
355	4	8	2	3	1	0	0	0	1	5	1
356	9	8	0	3	0	0	0	0	1	0	0
357	3	8	2	3	1	1	1	2	2	0	1
358	8	4	1	4	0	1	0	0	1	3	0
359	1	4	0	3	0	1	0	2	2	0	0
360	8	5	7	4	0	1	0	0	0	3	0
361	1	5	1	3	1	1	0	2	1	5	1
362	4	0	6	3	1	1	0	0	0	0	1
363	14	0	0	3	0	1	1	1	2	0	0
364	9	0	0	3	1	0	1	0	1	2	1
365	7	0	1	1	0	0	0	0	1	2	0
366	12	2	1	4	1	0	0	0	1	2	1
367	6	2	0	3	0	1	0	0	1	3	0
368	12	6	1	4	0	1	1	1	2	2	0
369	14	6	6	4	0	1	0	1	2	3	0
370	1	1	4	1	1	1	0	2	0	2	1
371	5	1	1	3	0	1	0	0	2	0	0
372	8	6	6	3	1	0	0	0	2	0	1
373	7	6	5	3	0	1	0	0	1	0	0
374	6	7	3	4	1	1	0	0	1	0	1
375	4	7	1	3	0	1	1	0	1	0	0
376	12	8	1	4	1	1	0	0	1	2	1
377	8	8	6	3	1	1	0	0	2	0	1
378	6	0	2	3	1	1	0	0	1	0	1
379	6	0	1	3	1	0	1	0	1	0	1
380	15	1	7	0	0	1	0	1	1	0	0
381	10	1	3	4	1	1	0	0	1	2	1
382	4	6	0	3	0	1	1	0	1	2	0
383	13	6	1	4	1	0	0	1	1	0	1
384	6	0	0	3	0	0	0	0	1	3	0
385	1	0	0	3	1	0	0	2	1	0	1
386	13	4	6	3	1	1	0	1	1	2	1
387	13	4	1	3	1	0	0	1	2	2	1
388	10	3	3	3	0	1	0	0	1	2	0
389	12	3	3	0	1	1	0	0	1	0	0
390	0	0	1	3	0	1	0	2	1	0	0
391	1	0	0	2	1	1	1	2	2	0	1
392	2	8	5	3	0	0	0	2	0	3	0
393	5	8	5	3	1	1	0	0	1	2	0
394	7	8	2	3	0	1	0	0	1	5	0
395	11	8	6	4	1	1	0	0	0	0	1
396	1	5	0	3	1	1	0	2	1	3	1
397	7	5	6	3	1	1	0	0	2	0	1
398	14	0	0	3	0	1	0	1	1	3	0
399	1	0	0	4	1	0	0	2	1	2	1
400	14	4	3	3	1	0	0	1	1	5	1
401	13	4	1	1	0	1	0	1	1	0	0
402	15	4	5	3	1	1	0	1	2	2	1
403	10	4	2	3	1	0	0	0	1	3	0
404	5	4	2	3	1	1	0	0	0	0	1
405	8	4	1	3	0	0	0	0	1	0	0
406	6	6	1	1	0	1	0	0	1	2	0
407	2	6	0	3	1	1	1	2	1	0	1
408	8	5	1	3	1	0	0	0	1	0	0
409	8	5	1	3	0	0	1	0	2	0	0
410	7	5	6	4	0	1	0	0	0	0	0
411	5	5	2	4	1	1	1	0	2	2	1
412	6	6	1	2	1	0	1	0	2	2	1
413	1	6	3	3	1	0	0	2	0	2	1
414	5	2	0	3	0	1	0	0	1	2	0
415	0	2	0	4	1	1	0	2	2	2	1
416	10	8	3	3	1	1	0	0	1	2	1
417	4	8	0	3	1	0	1	0	1	0	1
418	6	3	0	1	0	0	1	0	1	2	0
419	15	3	6	2	1	1	0	1	1	0	1
420	1	1	1	3	1	1	1	2	1	0	1
421	1	1	1	0	0	1	0	2	2	2	0
422	0	1	0	2	1	1	1	2	1	2	0
423	1	1	2	1	0	1	0	2	2	2	0
424	10	4	1	3	1	1	0	0	0	0	1
425	15	4	2	3	0	0	0	1	1	2	0
426	8	1	0	3	0	0	0	0	2	0	0
427	13	1	0	3	0	1	1	1	1	5	0
428	5	5	1	4	0	1	1	0	1	0	0
429	3	5	6	3	1	1	0	2	2	0	1
430	8	4	0	4	0	1	0	0	2	2	0
431	8	4	3	0	0	0	0	0	2	2	0
432	8	1	6	2	1	1	0	0	1	2	0
433	6	1	0	3	0	1	1	0	1	5	0
434	1	0	0	1	0	1	1	2	1	0	0
435	0	0	0	3	1	1	0	2	0	0	1
436	6	6	4	4	1	1	0	0	0	0	1
437	4	6	1	3	1	1	0	0	1	5	1
438	4	1	0	4	0	1	0	0	1	2	0
439	11	1	0	3	0	1	0	0	1	2	0
440	4	6	1	1	0	1	0	0	1	0	0
441	14	6	0	3	0	0	0	1	2	2	0
442	4	0	1	3	1	1	0	0	1	0	1
443	4	0	2	3	1	1	0	0	0	0	1
444	1	1	0	2	1	0	0	2	1	0	1
445	5	1	6	4	1	0	0	0	2	0	1
446	10	1	2	3	1	1	1	0	0	2	1
447	1	1	1	3	1	1	0	2	1	0	1
448	14	8	1	4	1	1	0	1	1	3	1
449	13	8	1	3	0	1	1	1	1	5	0
450	11	6	1	3	0	1	1	0	1	2	0
451	4	6	1	4	1	1	0	0	0	0	1
452	7	8	4	3	1	1	0	0	0	2	1
453	6	8	3	3	1	1	0	0	1	2	1
454	15	1	0	3	0	1	0	1	1	0	0
455	13	1	0	3	0	1	0	1	1	1	0
456	13	1	0	3	0	1	0	1	1	2	0
457	15	1	6	3	1	0	0	1	2	0	0
458	13	5	0	3	0	0	1	1	1	2	0
459	8	5	2	3	1	1	0	0	2	0	1
460	14	0	5	4	1	0	0	1	1	2	1
461	8	0	7	3	1	1	0	0	0	0	1
462	4	1	0	3	1	1	0	0	0	5	1
463	7	1	6	3	1	1	0	0	2	0	1
464	3	8	0	3	1	0	0	2	2	0	1
465	11	8	1	2	0	1	0	0	1	2	0
466	0	5	1	3	1	1	1	2	1	0	1
467	1	5	1	1	0	1	0	2	1	0	0
468	9	6	3	4	1	0	1	0	2	0	1
469	1	6	3	1	0	0	0	2	2	0	0
470	7	0	3	3	0	1	1	0	2	0	0
471	3	0	2	3	1	1	1	2	2	0	1
472	6	6	1	3	1	1	0	0	1	2	1
473	14	6	2	1	0	1	1	1	1	2	0
474	14	3	3	3	1	0	0	1	1	0	1
475	2	3	1	3	0	0	1	2	1	2	0
476	5	2	4	3	0	0	0	0	2	0	0
477	15	2	0	3	0	0	0	1	1	5	0
478	6	4	0	4	0	0	1	0	1	2	0
479	13	4	3	3	1	1	0	1	1	0	1
480	15	3	6	3	1	1	1	1	0	0	1
481	9	3	5	0	1	0	1	0	1	0	1
482	0	8	2	3	1	1	0	2	0	0	1
483	15	8	6	3	1	1	0	1	2	0	1
484	1	3	0	3	1	1	0	2	2	2	1
485	1	3	1	3	0	1	0	2	2	0	0
486	14	0	0	4	0	0	1	1	1	2	0
487	9	0	0	4	1	1	0	0	2	0	1
488	6	8	7	3	1	1	0	0	0	0	1
489	14	8	0	3	0	1	0	1	2	2	0
490	10	0	3	3	0	0	0	0	2	0	0
491	6	0	1	0	1	1	1	0	1	2	1
492	12	4	0	3	1	1	0	0	1	2	1
493	15	4	0	4	0	0	1	1	1	2	0
494	12	2	0	3	1	1	0	0	1	0	1
495	8	2	0	3	0	0	0	0	0	0	0
496	15	8	3	4	0	0	0	1	1	2	0
497	6	8	1	3	0	0	0	0	0	2	0
498	1	2	0	3	0	0	0	2	1	2	0
499	12	2	3	2	0	1	1	0	2	2	0
500	13	8	6	4	0	1	0	1	1	0	0
501	3	8	0	3	0	1	0	2	2	5	0
502	1	1	2	3	1	1	0	2	2	2	1
503	0	1	4	0	1	0	0	2	0	2	1
504	3	0	0	3	0	1	0	2	2	0	0
505	12	0	0	3	0	0	0	1	1	0	0
506	13	2	0	3	1	1	0	1	0	0	1
507	13	2	0	3	0	1	0	1	1	2	0
508	1	6	2	3	1	1	0	2	2	0	1
509	11	6	2	3	0	0	0	0	1	0	0
510	11	0	0	3	0	1	1	0	1	3	0
511	4	0	7	1	1	1	0	0	0	0	1
512	8	2	5	3	1	0	0	0	2	3	1
513	15	2	0	3	0	1	1	1	1	0	0
514	2	7	0	2	1	0	0	2	1	0	1
515	6	7	6	4	1	0	0	0	0	0	1
516	11	5	3	4	0	0	0	0	1	2	0
517	15	5	1	3	0	1	0	1	1	0	0
518	13	4	3	4	0	1	0	1	0	0	0
519	11	4	0	4	0	0	0	0	1	2	0
520	9	0	0	3	0	1	0	0	2	0	0
521	1	0	0	3	0	1	0	2	1	0	0
522	4	1	3	2	1	1	1	0	1	2	1
523	14	1	5	3	1	1	0	1	2	0	0
524	4	0	0	3	0	0	1	0	1	2	0
525	11	0	0	3	0	1	0	0	1	3	0
526	7	5	1	0	0	0	1	0	1	2	0
527	5	5	0	3	0	0	0	0	1	0	0
528	8	2	6	3	0	1	0	0	0	2	0
529	2	2	0	3	1	1	1	2	2	0	1
530	3	5	3	4	1	1	0	2	2	0	1
531	13	5	0	3	0	1	0	1	1	2	0
532	9	5	2	3	0	1	1	0	1	2	0
533	4	5	0	3	0	1	0	0	1	2	0
534	6	6	1	3	0	1	1	0	1	0	0
535	8	6	3	1	1	1	1	0	0	0	1
536	15	1	0	3	0	1	1	1	1	5	0
537	4	1	3	4	0	0	0	0	0	2	0
538	7	0	1	4	1	1	0	0	1	3	1
539	1	0	0	3	1	1	0	2	2	2	1
540	15	0	0	3	0	0	0	1	1	2	0
541	4	0	2	3	1	0	0	0	1	0	1
542	13	5	2	4	1	0	1	1	1	2	1
543	11	5	1	3	0	0	0	0	1	2	0
544	11	1	3	3	0	0	1	0	2	0	0
545	10	1	7	3	1	1	0	0	2	0	1
546	11	8	7	4	1	1	0	0	0	0	0
547	14	8	1	3	0	1	0	1	1	2	0
548	8	1	0	4	0	1	0	0	1	0	0
549	9	1	2	4	0	1	0	0	1	0	0
550	13	7	4	3	1	1	0	1	1	3	1
551	8	7	0	4	0	0	0	0	1	2	0
552	11	1	1	3	1	1	0	0	1	2	1
553	10	1	0	3	0	1	0	0	2	0	0
554	6	3	0	3	0	0	0	0	1	0	0
555	7	3	2	3	1	0	0	0	1	3	1
556	8	5	0	4	0	1	1	0	1	0	0
557	13	5	0	3	0	1	1	1	1	5	0
558	5	7	6	3	1	1	0	0	2	0	1
559	15	7	0	4	1	0	0	1	1	2	1
560	5	0	5	3	1	1	0	0	2	0	1
561	12	0	5	3	1	1	0	0	2	2	1
562	5	5	1	3	1	1	0	0	1	0	1
563	13	5	0	4	0	0	0	1	1	0	0
564	4	4	3	3	1	1	0	0	1	0	1
565	4	4	0	4	0	1	0	0	2	0	0
566	9	7	0	3	0	1	0	0	1	2	0
567	9	7	1	3	1	0	0	0	1	0	1
568	9	2	5	3	1	1	0	0	0	5	1
569	13	2	2	3	0	0	0	1	1	2	0
570	11	4	7	3	0	1	0	0	2	0	0
571	10	4	6	3	1	1	0	0	0	0	1
572	15	0	0	3	0	1	1	1	1	0	0
573	15	0	3	3	0	1	0	1	1	2	0
574	1	8	5	3	0	1	0	2	0	0	0
575	8	8	1	4	0	0	0	0	1	5	0
576	0	0	1	0	1	1	0	2	2	2	1
577	10	0	7	3	1	1	1	0	2	0	0
