record_id	age	workclass	fnlwgt	education	marital_status	occupation	relationship	race	sex	capital_gain	hours_per_week	native_country	label
72	14	3	5	8	0	9	1	4	1	0	6	38	1
73	10	4	1	11	2	2	0	4	1	0	7	38	0
74	2	2	4	11	4	11	1	4	1	0	3	38	0
75	5	2	2	11	4	2	1	0	1	0	5	38	0
76	2	2	15	9	4	9	3	4	1	0	2	38	0
77	12	2	12	2	6	5	4	4	0	0	6	38	0
78	1	2	9	1	2	0	5	4	0	0	1	38	0
79	12	4	12	12	4	3	1	2	1	0	1	38	0
80	1	2	3	11	4	6	3	4	0	0	4	38	0
81	5	0	10	7	4	0	1	4	1	0	4	38	0
82	6	2	8	11	4	0	1	4	0	0	3	38	0
83	10	4	3	11	2	3	5	4	0	0	4	38	0
84	1	2	1	5	4	6	3	4	1	0	4	38	0
85	14	2	13	11	2	2	0	4	1	0	7	38	1
86	4	5	3	9	4	12	3	1	1	0	1	38	0
87	3	2	3	11	5	2	4	2	1	0	4	38	0
88	14	2	5	9	2	0	0	1	1	0	4	29	0
89	9	2	10	7	2	0	5	4	0	0	1	38	1
90	13	2	13	15	2	13	0	4	1	0	5	38	1
91	9	2	11	15	5	3	1	2	1	0	4	38	0
92	1	2	4	15	4	7	2	4	1	0	0	38	0
93	9	2	9	15	2	7	5	4	0	0	1	38	0
94	13	2	3	15	2	3	0	4	1	0	4	38	1
95	6	2	8	11	4	7	1	4	0	0	3	38	0
96	2	2	11	15	2	7	0	4	1	0	4	38	0
97	3	2	0	0	2	5	0	4	1	0	4	38	0
98	1	2	6	4	4	5	2	4	1	0	4	12	0
99	0	2	11	15	4	9	3	4	1	0	0	38	0
100	1	2	0	11	4	4	1	4	1	0	1	38	0
101	6	2	12	15	2	2	0	4	1	0	3	38	0
102	0	2	11	15	4	4	3	4	1	0	6	38	0
103	11	1	15	10	2	9	5	4	0	0	6	38	1
104	3	2	13	11	2	11	0	4	1	0	4	38	0
105	1	4	2	11	2	2	0	4	1	0	4	38	0
106	5	2	0	11	4	0	4	4	0	0	4	38	0
107	13	2	6	11	2	2	0	4	1	0	1	38	0
108	1	2	9	11	2	8	5	4	0	1	4	38	0
109	11	3	7	9	2	3	0	4	1	0	5	38	1
110	9	2	1	7	0	3	4	4	1	0	4	38	0
111	12	2	10	11	5	9	4	2	0	0	4	38	0
112	4	2	9	11	0	11	3	4	0	0	4	38	0
113	14	2	3	11	2	3	5	4	0	0	4	38	0
114	9	2	13	11	4	11	4	2	0	0	4	38	0
115	1	2	7	15	4	7	3	4	0	0	4	38	0
116	1	2	3	9	4	0	3	4	0	0	1	38	0
117	12	2	4	9	2	3	0	4	1	0	6	38	1
118	7	2	1	9	2	11	0	4	1	0	4	38	1
119	14	2	11	11	2	6	0	2	1	0	4	38	1
120	5	4	12	1	3	2	1	4	1	0	2	15	0
121	5	2	6	11	2	3	0	4	1	0	4	38	1
122	0	2	15	1	4	5	3	4	1	0	2	38	0
123	13	3	8	11	2	3	0	4	1	0	7	38	1
124	14	2	11	11	0	11	4	4	0	0	2	38	0
125	13	2	9	11	4	0	1	4	0	0	4	38	0
126	1	2	11	7	4	5	3	2	1	0	1	22	0
127	13	2	1	15	2	0	0	4	1	0	4	38	0
128	15	3	2	12	6	3	4	4	0	0	7	38	0
129	0	2	7	11	4	7	3	4	0	0	4	38	0
130	2	2	3	15	5	11	4	4	0	0	5	38	0
131	12	2	4	12	2	11	0	4	1	0	5	38	0
132	0	2	10	2	4	5	3	4	1	0	4	38	0
133	1	2	11	15	4	11	3	4	1	0	5	38	0
134	2	2	11	11	4	7	1	0	1	0	3	38	0
135	10	2	10	9	0	3	1	2	0	0	4	38	1
136	9	2	2	15	2	6	0	4	1	0	4	38	0
137	3	2	8	11	4	0	1	2	0	0	4	38	0
138	14	2	5	9	0	0	1	4	0	1	4	38	1
139	7	2	5	15	2	2	0	4	1	0	6	38	0
140	6	2	12	4	2	7	0	4	1	0	4	25	0
141	11	2	15	11	2	2	0	4	1	0	5	38	0
142	12	2	12	11	2	11	0	4	1	0	4	38	1
143	5	2	15	15	4	2	2	4	1	0	4	25	0
144	9	2	8	8	2	2	0	4	1	0	4	38	1
145	4	2	14	11	2	11	0	4	1	0	7	38	0
146	10	2	2	15	0	0	2	4	0	0	4	38	0
147	12	4	1	12	2	11	0	4	1	1	6	38	1
148	8	5	3	15	5	3	3	4	1	0	4	38	0
149	6	2	14	11	3	11	1	4	1	0	1	38	0
150	11	2	3	11	0	3	1	4	0	0	4	38	0
151	7	2	10	9	4	3	1	4	1	0	7	38	0
152	12	3	4	9	2	11	0	1	1	0	7	34	1
153	15	4	15	15	5	11	4	2	1	0	0	38	0
154	11	5	10	11	0	12	4	4	0	0	4	38	0
155	2	2	14	11	4	5	1	4	1	0	4	38	0
156	5	1	14	11	2	10	0	2	1	0	4	38	0
157	6	2	6	11	3	5	2	4	1	0	4	38	0
158	9	2	2	3	2	4	0	4	1	0	4	25	0
159	8	2	11	11	0	7	1	4	0	0	1	38	0
160	2	2	10	9	4	3	1	4	0	0	6	38	0
161	11	2	4	11	0	6	1	4	0	0	4	38	0
162	13	1	10	15	2	7	0	4	1	0	3	38	0
163	5	0	10	11	2	0	5	4	0	0	4	38	1
164	15	4	10	15	2	2	0	4	1	1	7	38	1
165	9	2	14	11	5	5	1	2	1	0	2	38	0
166	15	4	7	6	2	4	0	4	1	0	7	38	0
167	9	2	11	9	2	11	0	4	1	1	5	38	1
168	7	2	11	7	4	11	1	2	1	1	4	38	1
169	10	2	15	11	2	6	0	4	1	0	4	25	0
170	12	2	14	9	2	9	0	4	1	0	5	1	1
171	15	2	10	11	4	2	1	4	1	0	4	38	0
172	14	2	9	9	2	11	0	4	1	0	7	38	0
173	13	2	9	6	2	2	0	4	1	0	6	38	1
174	14	1	14	12	2	9	0	2	1	1	2	38	1
175	1	2	13	11	4	5	1	4	1	0	4	38	0
176	10	0	12	7	2	0	0	4	1	0	4	38	1
177	9	2	14	15	2	13	0	4	1	0	5	38	1
178	6	1	2	11	2	2	0	4	1	0	4	38	0
179	2	1	12	15	4	7	1	2	1	0	2	38	0
180	1	2	11	15	4	0	3	4	0	0	4	38	0
181	0	2	1	1	4	2	3	4	1	0	0	38	0
182	7	2	2	9	4	11	1	4	1	0	6	38	0
183	13	2	8	15	2	11	0	4	1	0	6	38	0
184	8	2	11	15	2	2	0	4	1	0	4	38	0
185	5	2	13	10	2	9	0	1	1	0	4	2	0
186	6	2	15	11	4	5	3	4	1	0	4	38	0
187	11	2	5	9	4	0	1	2	0	0	4	38	1
188	2	2	1	9	2	3	5	4	0	0	4	38	0
189	5	2	14	9	4	4	1	4	1	0	4	38	0
190	6	2	13	1	0	7	1	4	0	0	7	38	0
191	1	2	14	15	4	0	3	1	1	0	1	38	0
192	15	4	11	11	2	3	0	4	1	0	5	38	0
193	14	2	11	11	4	6	1	4	1	0	4	38	0
194	4	2	3	11	2	5	0	4	1	0	5	38	0
195	0	2	1	6	4	7	3	4	0	0	3	38	0
196	15	2	2	11	0	6	1	4	1	0	0	38	0
197	13	2	6	12	4	9	1	4	1	0	6	38	1
198	8	2	9	8	2	6	0	4	1	0	4	38	1
199	6	2	15	11	2	2	0	4	1	0	6	38	0
200	9	2	10	11	4	0	1	4	1	0	5	38	0
201	3	2	1	9	2	3	0	4	1	0	6	38	0
202	15	2	7	7	2	3	0	4	1	0	4	38	0
203	3	2	14	9	4	3	1	4	0	0	4	38	0
204	15	2	4	11	2	9	0	4	1	0	5	38	0
205	7	2	12	15	2	11	0	4	1	0	4	38	1
206	3	2	6	11	4	13	3	4	1	0	6	38	0
207	13	3	0	10	0	3	1	4	1	1	6	38	1
208	12	0	14	15	2	3	0	4	1	0	4	38	1
209	3	2	9	9	4	7	1	4	1	0	2	38	0
210	9	0	8	8	0	0	3	2	0	0	4	38	0
211	9	2	9	11	2	0	5	4	0	0	7	38	0
212	12	2	5	15	0	0	1	4	0	0	7	38	0
213	13	2	11	11	2	2	0	2	1	0	4	38	1
214	2	2	3	9	4	9	3	4	1	0	4	38	0
215	14	2	14	11	2	0	0	4	1	0	0	38	0
216	10	2	12	5	4	5	1	2	1	0	4	38	0
217	0	2	7	11	4	2	3	4	1	0	7	38	0
218	12	2	6	6	0	5	1	4	0	0	4	38	0
219	9	2	6	11	2	6	0	4	1	0	4	38	0
220	13	2	1	11	2	0	2	4	0	0	4	38	0
221	12	2	13	9	2	9	0	4	1	0	4	38	0
222	14	2	12	8	2	9	0	4	1	0	4	38	0
223	10	4	1	9	2	4	0	4	1	0	7	38	0
224	6	2	6	7	5	7	4	4	0	0	4	38	0
225	9	2	4	14	2	0	0	1	1	0	4	29	0
226	13	2	15	11	2	2	0	4	1	1	4	38	1
227	4	2	9	8	4	0	3	4	0	0	3	38	0
228	4	3	8	9	2	11	0	4	1	0	6	38	1
229	10	4	12	11	2	13	0	4	1	0	4	38	0
230	13	2	14	15	6	11	4	4	0	0	2	38	0
231	14	2	5	11	0	6	1	4	0	0	4	38	0
232	11	4	6	15	4	11	3	4	0	0	3	38	0
233	12	2	8	6	2	5	0	4	1	0	5	38	0
234	1	2	11	11	4	7	1	4	1	0	4	38	0
235	12	1	0	0	4	7	1	4	1	0	4	38	0
236	15	2	2	15	6	12	4	4	0	0	4	38	0
237	1	3	13	5	2	2	0	4	1	0	4	38	0
238	12	3	4	1	4	3	2	4	1	0	4	38	1
239	12	5	4	12	2	9	0	4	1	0	5	38	1
240	2	2	6	11	4	5	4	2	0	0	0	38	0
241	3	2	6	8	2	11	0	4	1	0	5	38	0
242	12	2	0	9	2	3	0	4	1	0	6	38	1
243	12	2	4	11	4	0	1	4	0	0	4	38	0
244	4	1	0	11	4	3	4	0	0	0	3	38	0
245	1	2	8	15	4	0	3	3	0	0	1	4	0
246	11	2	10	11	4	7	3	4	0	0	4	38	0
247	9	2	0	15	2	0	0	4	1	1	4	38	1
248	7	4	8	9	4	9	3	4	0	0	4	38	0
249	4	2	3	15	0	7	2	2	1	0	1	38	0
250	9	2	8	11	4	11	1	4	1	0	6	38	0
251	1	2	15	7	4	0	1	2	0	0	4	38	0
252	6	2	14	11	2	2	0	4	1	0	4	38	0
253	6	1	4	11	2	2	0	4	1	0	4	38	1
254	12	2	7	15	0	7	1	4	1	0	5	38	0
255	11	0	11	9	2	3	0	4	1	0	4	38	1
256	7	2	9	15	2	2	0	4	1	0	6	38	0
257	5	1	14	7	4	12	1	4	1	0	1	38	0
258	15	0	2	15	6	12	1	4	0	0	0	38	0
259	4	2	4	11	0	6	4	4	1	0	4	38	0
260	4	2	2	15	2	11	5	4	0	0	4	38	0
261	13	4	2	11	2	3	0	4	1	0	3	38	0
262	3	2	15	15	2	0	5	4	0	0	4	38	0
263	13	0	9	12	2	3	0	4	1	1	4	38	0
264	10	2	11	11	2	11	0	2	1	0	4	38	1
265	5	2	6	15	4	2	2	4	1	0	6	6	0
266	6	2	11	6	5	4	4	2	1	0	4	38	0
267	0	2	5	0	4	7	3	4	0	0	0	38	0
268	12	2	8	15	2	0	5	4	0	0	3	38	1
269	14	1	9	9	2	9	0	4	1	0	4	38	1
270	3	2	3	15	2	5	0	4	1	0	0	38	0
271	6	2	15	11	2	9	0	4	1	0	4	38	0
272	2	2	0	11	4	7	4	4	0	0	3	38	0
273	6	2	8	15	0	0	4	4	0	0	4	38	0
274	9	2	4	9	2	3	0	2	1	0	6	38	0
275	13	2	8	3	2	4	0	4	1	0	4	38	0
276	11	2	2	15	2	6	0	4	1	0	4	38	0
277	10	2	10	9	2	9	0	4	1	0	6	38	1
278	6	2	1	12	4	9	1	4	0	0	4	38	0
279	9	5	0	9	4	0	1	4	1	0	4	38	0
280	14	2	5	5	2	6	0	2	1	0	5	38	0
281	5	2	0	9	0	3	4	4	0	0	4	38	0
282	12	3	12	9	2	0	0	4	1	0	4	38	1
283	3	2	6	0	4	6	1	4	0	0	4	3	0
284	13	4	3	0	2	11	0	4	1	0	7	38	0
285	15	2	3	10	2	3	0	4	1	0	4	38	1
286	9	2	3	8	2	2	0	4	1	0	6	38	1
287	15	4	13	14	2	9	0	4	1	0	6	38	0
288	14	1	2	5	4	7	4	2	0	0	4	38	0
289	11	2	2	11	0	2	1	1	1	1	4	38	1
290	2	4	15	11	4	4	1	4	1	0	1	25	0
291	8	0	1	9	2	9	0	4	1	0	4	38	0
292	2	2	14	9	2	9	5	4	0	0	4	38	0
293	14	2	7	11	2	13	0	4	1	0	5	38	1
294	6	2	2	15	4	11	1	1	1	0	1	34	0
295	14	2	10	6	2	5	0	4	1	0	6	38	1
296	13	2	6	15	4	3	1	2	0	0	4	38	0
297	12	5	0	15	2	9	0	4	1	0	6	38	0
298	7	0	4	9	2	2	0	4	1	0	4	38	1
299	10	2	8	15	5	12	1	4	0	0	3	38	0
300	7	2	10	9	4	11	1	4	1	1	5	38	1
301	4	2	7	8	4	0	3	4	0	0	4	38	0
302	0	2	9	6	4	7	4	4	1	0	1	38	0
303	9	4	7	7	2	4	0	4	1	0	6	38	1
304	9	2	5	9	0	3	4	2	0	0	4	38	0
305	3	2	6	9	2	9	0	4	1	0	4	38	0
306	12	4	7	11	0	9	1	4	1	0	0	38	0
307	2	2	11	7	4	0	3	4	0	0	4	38	0
308	2	2	7	15	2	5	0	4	1	0	4	38	0
309	6	2	11	11	2	2	0	4	1	0	6	38	1
310	13	2	9	11	6	11	1	4	0	0	4	38	0
311	6	2	6	9	2	9	0	4	1	0	6	21	0
312	9	2	5	15	0	3	4	4	0	0	6	38	0
313	15	2	2	11	6	4	1	4	1	0	0	38	0
314	5	2	4	8	2	11	0	4	1	0	4	38	1
315	6	4	10	11	2	13	0	4	1	0	5	38	0
316	6	2	14	10	4	9	1	4	1	0	4	35	1
317	10	3	3	15	2	2	0	4	1	0	6	38	1
318	12	3	9	12	4	9	1	2	1	0	6	37	0
319	4	2	9	9	4	9	1	4	0	0	7	30	0
320	4	2	1	15	0	2	4	4	1	0	3	38	1
321	4	2	2	11	2	7	5	4	0	0	4	38	0
322	3	2	14	12	4	3	3	4	0	0	4	38	0
323	1	2	1	15	4	0	3	4	0	0	4	38	0
324	4	2	6	11	4	7	1	4	1	0	4	32	0
325	7	1	14	15	2	10	0	4	1	0	5	38	0
326	10	2	4	15	4	0	1	2	0	0	4	38	0
327	6	2	0	9	0	11	1	0	1	0	7	38	1
328	8	1	6	11	2	13	0	4	1	0	1	38	0
329	15	3	10	9	2	3	0	4	1	0	6	38	1
330	13	2	0	15	0	9	1	4	0	0	4	38	0
331	1	2	10	0	4	13	1	0	1	0	7	38	0
332	12	2	1	11	2	2	0	4	1	0	6	38	1
333	7	0	0	11	4	0	1	4	1	0	4	38	0
334	10	2	14	15	2	7	5	4	0	0	1	8	1
335	9	2	3	11	2	11	0	4	1	0	4	38	1
336	13	2	7	15	4	3	1	4	0	0	6	38	0
337	13	1	2	15	2	13	0	4	1	0	4	38	0
338	0	2	15	11	4	0	3	4	0	0	1	38	0
339	0	2	3	1	4	11	3	4	0	0	1	38	0
340	8	2	8	15	2	2	0	4	1	0	4	38	0
341	12	2	4	9	0	2	1	4	0	0	6	38	0
342	3	2	14	8	4	9	1	4	1	0	4	38	0
343	1	2	7	11	4	9	4	4	0	0	6	38	0
344	1	2	8	8	4	4	1	4	0	0	2	38	0
345	2	0	14	15	4	3	3	4	1	0	4	38	0
346	7	2	6	15	4	6	1	2	0	0	2	38	0
347	3	2	11	12	4	9	1	4	0	1	3	38	0
348	12	1	15	11	5	0	4	2	0	0	4	38	0
349	5	2	10	11	2	13	0	4	1	0	7	38	0
350	6	5	9	9	2	9	0	4	1	0	3	38	1
351	0	2	6	11	4	0	3	4	1	0	3	38	0
352	11	2	9	9	2	11	0	4	1	0	5	38	1
353	12	3	14	9	2	3	0	4	1	0	6	38	0
354	12	2	13	7	6	7	3	4	0	0	3	38	0
355	6	2	2	11	4	5	1	4	0	0	3	38	0
356	3	2	4	11	4	7	1	4	0	0	3	38	0
357	15	2	9	15	6	7	1	4	0	0	1	38	0
358	11	2	0	11	4	2	1	4	0	0	5	38	0
359	15	2	10	11	2	3	0	4	1	0	4	38	0
360	2	2	15	8	2	2	0	4	1	0	4	38	0
361	10	2	6	12	2	9	5	4	0	0	5	38	0
362	0	2	14	11	4	7	3	2	1	0	1	38	0
363	10	2	4	0	4	6	1	2	1	0	4	38	0
364	6	2	1	12	2	3	0	4	1	0	7	38	1
365	6	2	5	11	4	6	4	2	0	0	5	38	0
366	7	2	13	11	2	2	0	4	1	0	4	38	1
367	11	1	6	7	2	3	0	4	1	0	4	38	1
368	1	2	5	15	4	11	3	4	0	0	0	38	0
369	8	4	8	14	2	9	0	4	1	0	5	38	1
370	1	2	8	7	4	5	3	4	1	0	4	38	0
371	2	2	11	11	4	6	3	4	1	0	4	38	0
372	6	2	3	11	2	11	0	4	1	0	7	38	0
373	6	2	6	8	2	11	0	4	1	0	4	38	0
374	4	2	9	9	4	11	2	4	0	0	5	38	0
375	3	2	9	8	4	0	1	4	0	0	3	38	0
376	6	2	12	9	4	9	4	4	0	0	4	38	0
377	13	2	14	15	0	3	1	4	0	0	6	38	0
378	3	1	10	12	4	9	3	4	1	0	3	38	0
379	8	2	15	15	4	13	1	4	1	0	4	38	0
380	12	2	5	15	2	2	0	0	1	0	4	38	0
381	12	2	2	9	0	3	4	4	0	0	4	38	0
382	7	2	3	11	4	6	4	4	1	1	7	38	0
383	6	2	4	11	2	10	0	4	1	0	4	38	0
384	7	0	6	15	4	7	4	2	0	0	4	38	0
385	13	2	4	0	4	4	3	4	1	0	4	38	0
386	9	2	15	15	2	6	0	3	1	0	4	38	1
387	12	1	14	14	2	0	0	1	1	0	4	24	1
388	12	2	4	8	2	11	0	4	1	0	1	38	0
389	5	5	4	7	2	12	0	4	1	0	4	38	1
390	15	2	12	15	2	11	0	4	1	0	4	38	1
391	12	2	1	11	0	11	1	4	1	0	6	38	0
392	10	2	3	10	2	3	5	4	0	1	2	38	1
393	2	2	1	9	4	11	3	4	1	0	4	38	0
394	15	2	2	11	0	8	1	4	0	0	6	38	0
395	14	2	8	11	2	9	0	4	1	0	4	38	1
396	15	2	8	0	2	13	0	4	1	0	4	38	1
397	9	5	1	9	2	9	5	4	0	0	4	38	1
398	4	2	15	11	4	13	1	4	1	0	5	38	0
399	4	4	7	11	2	2	0	4	1	0	4	38	0
400	0	2	1	0	4	11	1	4	1	0	1	38	0
401	7	5	11	12	2	9	0	4	1	0	7	38	0
402	10	2	1	15	2	0	0	4	1	0	4	38	0
403	9	2	8	11	2	2	0	4	1	1	6	38	1
404	7	2	13	7	4	12	4	4	0	0	5	38	0
405	7	2	14	11	4	9	1	4	0	0	3	38	0
406	12	2	3	1	2	7	0	4	1	0	4	38	0
407	15	4	1	11	2	2	0	4	1	0	4	38	1
408	3	1	11	8	4	0	3	4	1	0	4	38	0
409	11	2	1	15	2	2	0	4	1	0	4	38	0
410	8	3	2	15	2	13	0	4	1	0	6	38	1
411	7	3	2	7	2	9	0	4	1	0	7	38	0
412	7	2	8	11	6	3	4	4	0	0	2	38	0
413	0	2	7	11	4	6	3	2	0	0	4	38	0
414	6	2	3	11	2	2	0	4	1	0	6	38	0
415	1	2	6	15	4	0	3	4	1	0	2	38	0
416	13	2	13	11	2	2	0	4	1	0	4	38	1
417	9	2	4	9	4	3	3	1	0	0	3	38	0
418	8	2	7	9	2	11	0	4	1	1	7	38	1
419	5	2	1	7	2	9	0	4	1	0	4	38	0
420	8	4	2	9	2	2	0	4	1	0	3	38	0
421	6	2	10	9	2	3	5	4	0	0	4	38	1
422	10	2	10	4	5	0	2	4	1	0	4	7	0
423	0	2	5	2	4	11	3	4	0	0	1	38	0
424	6	2	15	11	4	8	4	4	0	0	4	25	0
425	13	2	13	9	2	3	0	4	1	0	7	38	1
426	9	2	2	7	2	11	0	4	1	0	1	38	0
427	6	2	3	12	2	3	0	4	1	0	5	10	1
428	1	2	12	13	4	4	1	4	1	0	6	25	0
429	3	2	15	15	4	9	1	4	1	1	4	38	1
430	11	2	7	11	2	6	0	4	1	0	4	38	1
431	10	1	3	15	2	0	5	4	0	0	4	38	1
432	3	2	13	9	4	0	3	1	0	0	6	24	0
433	10	5	0	12	2	9	0	4	1	0	5	38	1
434	1	2	13	11	4	7	3	4	1	0	2	38	0
435	15	2	4	11	6	7	1	4	0	0	0	38	0
436	3	1	11	9	4	9	1	2	0	0	4	38	0
437	5	2	3	11	4	11	4	2	0	0	1	38	0
438	9	2	15	9	2	13	0	4	1	0	5	1	1
439	14	1	9	2	4	5	1	4	1	0	4	38	0
440	1	1	13	9	4	9	3	4	0	0	3	38	0
441	1	2	11	15	1	7	5	4	0	0	4	38	1
442	10	2	4	6	2	13	0	4	1	0	4	38	0
443	8	3	1	15	2	2	0	4	1	0	3	38	0
444	0	2	12	1	4	5	3	4	1	0	4	38	0
445	14	2	1	15	2	3	0	4	1	1	5	38	1
446	1	2	13	7	4	0	1	4	0	0	4	38	0
447	13	2	15	6	2	4	0	4	1	0	4	25	0
448	0	3	2	1	4	4	3	4	1	0	7	38	0
449	11	2	8	7	2	2	0	4	1	0	4	38	1
450	9	2	4	8	2	0	0	4	1	0	4	38	1
451	10	2	10	9	2	3	0	4	1	0	5	38	1
452	1	2	2	15	4	12	1	4	0	0	6	38	0
453	1	1	15	11	4	0	1	4	0	0	2	38	0
454	3	2	7	12	4	3	3	4	0	0	4	38	0
455	14	1	13	15	2	0	5	2	0	0	6	38	0
456	3	2	15	11	2	11	0	4	1	0	5	38	0
457	12	2	12	11	4	6	4	0	1	0	6	32	0
458	11	2	15	11	0	11	4	2	1	1	4	38	0
459	3	2	12	9	4	11	1	4	1	0	5	38	0
460	12	2	9	5	0	2	1	4	0	0	2	38	0
461	6	2	14	11	0	11	1	4	0	0	6	38	0
462	11	2	5	7	0	13	1	4	1	0	6	38	0
463	12	3	8	5	2	2	0	4	1	0	6	38	1
464	10	4	0	1	2	4	0	4	1	0	7	38	0
465	13	0	14	11	0	3	1	4	0	0	4	38	0
466	11	3	8	9	2	3	0	4	1	0	7	38	0
467	12	2	7	15	2	0	0	4	1	0	4	38	1
468	4	2	1	9	2	11	0	4	1	0	5	38	1
469	10	1	12	15	4	9	1	4	0	0	4	38	0
470	14	2	2	5	4	0	1	4	1	0	4	38	0
471	14	4	9	11	2	11	0	4	1	0	7	38	0
472	3	2	1	15	2	11	5	4	0	0	4	38	0
473	4	2	11	12	2	3	5	4	0	0	4	38	1
474	8	2	4	15	2	9	0	4	1	0	4	38	0
475	1	2	11	11	4	11	3	4	0	0	3	38	0
476	0	2	15	0	4	13	1	4	1	0	6	38	0
477	13	2	6	11	2	0	5	2	0	0	4	38	0
478	6	1	3	12	0	9	1	4	0	0	6	38	0
479	10	4	0	11	3	2	1	4	1	0	4	38	0
480	11	2	0	15	5	2	1	4	1	0	4	38	0
481	12	4	1	12	0	9	1	4	1	0	4	38	0
482	3	2	9	8	2	0	5	2	0	0	4	38	0
483	15	2	15	15	2	11	0	4	1	0	4	38	1
484	12	2	10	15	0	12	1	4	1	0	4	38	0
485	14	4	3	14	2	9	0	4	1	0	2	38	1
486	2	2	4	12	4	9	1	4	0	0	4	38	0
487	12	2	13	5	2	2	0	4	1	0	4	38	0
488	7	2	8	11	2	2	0	4	1	0	4	38	0
489	10	2	8	9	2	3	0	1	1	0	6	38	1
490	11	2	9	15	2	2	0	4	1	0	4	38	1
491	7	1	8	11	4	10	3	4	1	0	4	38	0
492	11	1	5	12	0	9	4	2	0	0	4	38	0
493	7	2	10	9	2	9	0	4	1	0	3	38	0
494	2	2	10	9	4	11	1	4	1	0	6	38	0
495	8	2	3	11	2	11	0	4	1	0	4	38	0
